Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,36.02
1,2022-01-04,12,2022-01-13,34.44
2,2022-01-13,12,2022-01-24,36.56
3,2022-01-24,12,2022-02-02,35.93
4,2022-02-02,12,2022-02-11,36.46
5,2022-02-11,12,2022-02-23,38.27
6,2022-02-23,12,2022-03-04,37.69
7,2022-03-04,12,2022-03-15,37.36
8,2022-03-15,12,2022-03-24,35.72
9,2022-03-24,12,2022-04-04,38.62
10,2022-04-04,12,2022-04-19,38.29
11,2022-04-19,12,2022-04-28,36.82
12,2022-04-28,12,2022-05-11,37.23
13,2022-05-11,12,2022-05-23,38.29
14,2022-05-23,12,2022-06-01,41.3
15,2022-06-01,12,2022-06-13,41.16
16,2022-06-13,12,2022-06-22,37.99
17,2022-06-22,12,2022-07-01,35.96
18,2022-07-01,12,2022-07-12,38.46
19,2022-07-12,12,2022-07-22,33.4
20,2022-07-22,12,2022-08-04,35.13
21,2022-08-04,12,2022-08-16,34.97
22,2022-08-16,12,2022-08-25,35.77
23,2022-08-25,12,2022-09-05,38.09
24,2022-09-05,12,2022-09-14,36.26
25,2022-09-14,12,2022-09-23,36.49
26,2022-09-23,12,2022-10-04,37.62
27,2022-10-04,12,2022-10-17,34.92
28,2022-10-17,12,2022-10-27,34.75
29,2022-10-27,12,2022-11-07,37.05
30,2022-11-07,12,2022-11-16,36.73
31,2022-11-16,12,2022-11-25,34.28
32,2022-11-25,12,2022-12-07,34.41
33,2022-12-07,12,2022-12-19,31.48
34,2022-12-19,12,2022-12-28,32.08
