Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.75
1,2022-01-04,12,2022-01-13,38.13
2,2022-01-13,12,2022-01-24,38.43
3,2022-01-24,12,2022-02-02,38.44
4,2022-02-02,12,2022-02-11,38.27
5,2022-02-11,12,2022-02-23,38.68
6,2022-02-23,12,2022-03-04,38.54
7,2022-03-04,12,2022-03-15,39.06
8,2022-03-15,12,2022-03-24,38.46
9,2022-03-24,12,2022-04-04,38.95
10,2022-04-04,12,2022-04-19,39.17
11,2022-04-19,12,2022-04-28,38.25
12,2022-04-28,12,2022-05-11,37.52
13,2022-05-11,12,2022-05-23,37.21
14,2022-05-23,12,2022-06-01,37.68
15,2022-06-01,12,2022-06-13,38.31
16,2022-06-13,12,2022-06-22,38.11
17,2022-06-22,12,2022-07-01,35.15
18,2022-07-01,12,2022-07-12,35.36
19,2022-07-12,12,2022-07-22,36.12
20,2022-07-22,12,2022-08-04,36.21
21,2022-08-04,12,2022-08-16,35.49
22,2022-08-16,12,2022-08-25,37.32
23,2022-08-25,12,2022-09-05,38.18
24,2022-09-05,12,2022-09-14,37.11
25,2022-09-14,12,2022-09-23,37.11
26,2022-09-23,12,2022-10-04,37.08
27,2022-10-04,12,2022-10-17,35.58
28,2022-10-17,12,2022-10-27,36.06
29,2022-10-27,12,2022-11-07,36.72
30,2022-11-07,12,2022-11-16,38.56
31,2022-11-16,12,2022-11-25,36.66
32,2022-11-25,12,2022-12-07,35.72
33,2022-12-07,12,2022-12-19,34.75
34,2022-12-19,12,2022-12-28,34.2
