Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,38.2
1,2022-01-04,12,2022-01-13,37.63
2,2022-01-13,12,2022-01-24,37.4
3,2022-01-24,12,2022-02-02,38.58
4,2022-02-02,12,2022-02-11,38.79
5,2022-02-11,12,2022-02-23,39.3
6,2022-02-23,12,2022-03-04,38.77
7,2022-03-04,12,2022-03-15,44.56
8,2022-03-15,12,2022-03-24,39.36
9,2022-03-24,12,2022-04-04,38.62
10,2022-04-04,12,2022-04-19,39.07
11,2022-04-19,12,2022-04-28,37.81
12,2022-04-28,12,2022-05-11,38.15
13,2022-05-11,12,2022-05-23,37.79
14,2022-05-23,12,2022-06-01,37.49
15,2022-06-01,12,2022-06-13,40.57
16,2022-06-13,12,2022-06-22,38.26
17,2022-06-22,12,2022-07-01,36.13
18,2022-07-01,12,2022-07-12,34.6
19,2022-07-12,12,2022-07-22,35.98
20,2022-07-22,12,2022-08-04,35.81
21,2022-08-04,12,2022-08-16,35.93
22,2022-08-16,12,2022-08-25,36.01
23,2022-08-25,12,2022-09-05,37.51
24,2022-09-05,12,2022-09-14,38.16
25,2022-09-14,12,2022-09-23,37.36
26,2022-09-23,12,2022-10-04,43.54
27,2022-10-04,12,2022-10-17,35.28
28,2022-10-17,12,2022-10-27,42.49
29,2022-10-27,12,2022-11-07,35.27
30,2022-11-07,12,2022-11-16,42.7
31,2022-11-16,12,2022-11-25,36.01
32,2022-11-25,12,2022-12-07,34.43
33,2022-12-07,12,2022-12-19,34.29
34,2022-12-19,12,2022-12-28,34.56
