Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,42.31
1,2022-01-04,12,2022-01-13,43.09
2,2022-01-13,12,2022-01-24,42.78
3,2022-01-24,12,2022-02-02,43.06
4,2022-02-02,12,2022-02-11,41.95
5,2022-02-11,12,2022-02-23,41.93
6,2022-02-23,12,2022-03-04,41.99
7,2022-03-04,12,2022-03-15,40.97
8,2022-03-15,12,2022-03-24,41.77
9,2022-03-24,12,2022-04-04,40.74
10,2022-04-04,12,2022-04-19,44.35
11,2022-04-19,12,2022-04-28,43.69
12,2022-04-28,12,2022-05-11,39.77
13,2022-05-11,12,2022-05-23,38.39
14,2022-05-23,12,2022-06-01,39.92
15,2022-06-01,12,2022-06-13,36.63
16,2022-06-13,12,2022-06-22,34.86
17,2022-06-22,12,2022-07-01,39.41
18,2022-07-01,12,2022-07-12,41.33
19,2022-07-12,12,2022-07-22,44.94
20,2022-07-22,12,2022-08-04,44.94
21,2022-08-04,12,2022-08-16,45.26
22,2022-08-16,12,2022-08-25,44.22
23,2022-08-25,12,2022-09-05,43.26
24,2022-09-05,12,2022-09-14,43.43
25,2022-09-14,12,2022-09-23,44.14
26,2022-09-23,12,2022-10-04,42.54
27,2022-10-04,12,2022-10-17,44.03
28,2022-10-17,12,2022-10-27,44.07
29,2022-10-27,12,2022-11-07,42.07
30,2022-11-07,12,2022-11-16,44.48
31,2022-11-16,12,2022-11-25,43.95
32,2022-11-25,12,2022-12-07,40.09
33,2022-12-07,12,2022-12-19,36.54
34,2022-12-19,12,2022-12-28,41.51
