Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.99
1,2022-01-04,12,2022-01-13,37.87
2,2022-01-13,12,2022-01-24,38.49
3,2022-01-24,12,2022-02-02,40.0
4,2022-02-02,12,2022-02-11,38.9
5,2022-02-11,12,2022-02-23,38.85
6,2022-02-23,12,2022-03-04,37.43
7,2022-03-04,12,2022-03-15,43.5
8,2022-03-15,12,2022-03-24,36.42
9,2022-03-24,12,2022-04-04,42.9
10,2022-04-04,12,2022-04-19,35.41
11,2022-04-19,12,2022-04-28,42.42
12,2022-04-28,12,2022-05-11,41.87
13,2022-05-11,12,2022-05-23,43.73
14,2022-05-23,12,2022-06-01,36.15
15,2022-06-01,12,2022-06-13,37.89
16,2022-06-13,12,2022-06-22,37.12
17,2022-06-22,12,2022-07-01,35.52
18,2022-07-01,12,2022-07-12,34.59
19,2022-07-12,12,2022-07-22,29.75
20,2022-07-22,12,2022-08-04,34.3
21,2022-08-04,12,2022-08-16,35.62
22,2022-08-16,12,2022-08-25,36.94
23,2022-08-25,12,2022-09-05,42.71
24,2022-09-05,12,2022-09-14,36.77
25,2022-09-14,12,2022-09-23,35.23
26,2022-09-23,12,2022-10-04,37.6
27,2022-10-04,12,2022-10-17,36.49
28,2022-10-17,12,2022-10-27,35.71
29,2022-10-27,12,2022-11-07,35.73
30,2022-11-07,12,2022-11-16,34.01
31,2022-11-16,12,2022-11-25,34.55
32,2022-11-25,12,2022-12-07,33.72
33,2022-12-07,12,2022-12-19,33.12
34,2022-12-19,12,2022-12-28,34.31
