Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,38.4
1,2022-01-04,12,2022-01-13,38.82
2,2022-01-13,12,2022-01-24,37.0
3,2022-01-24,12,2022-02-02,37.98
4,2022-02-02,12,2022-02-11,38.44
5,2022-02-11,12,2022-02-23,40.43
6,2022-02-23,12,2022-03-04,37.46
7,2022-03-04,12,2022-03-15,38.69
8,2022-03-15,12,2022-03-24,38.08
9,2022-03-24,12,2022-04-04,37.62
10,2022-04-04,12,2022-04-19,39.11
11,2022-04-19,12,2022-04-28,38.76
12,2022-04-28,12,2022-05-11,37.21
13,2022-05-11,12,2022-05-23,38.02
14,2022-05-23,12,2022-06-01,38.83
15,2022-06-01,12,2022-06-13,38.41
16,2022-06-13,12,2022-06-22,40.14
17,2022-06-22,12,2022-07-01,34.68
18,2022-07-01,12,2022-07-12,34.81
19,2022-07-12,12,2022-07-22,34.97
20,2022-07-22,12,2022-08-04,35.37
21,2022-08-04,12,2022-08-16,37.18
22,2022-08-16,12,2022-08-25,35.88
23,2022-08-25,12,2022-09-05,38.71
24,2022-09-05,12,2022-09-14,37.43
25,2022-09-14,12,2022-09-23,36.25
26,2022-09-23,12,2022-10-04,37.14
27,2022-10-04,12,2022-10-17,36.07
28,2022-10-17,12,2022-10-27,35.37
29,2022-10-27,12,2022-11-07,35.35
30,2022-11-07,12,2022-11-16,35.61
31,2022-11-16,12,2022-11-25,35.01
32,2022-11-25,12,2022-12-07,36.9
33,2022-12-07,12,2022-12-19,34.79
34,2022-12-19,12,2022-12-28,32.76
