Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,113.91
1,2022-01-04,13,2022-01-13,121.17
2,2022-01-13,13,2022-01-24,122.95
3,2022-01-24,13,2022-02-02,123.33
4,2022-02-02,13,2022-02-11,125.64
5,2022-02-11,13,2022-02-23,128.91
6,2022-02-23,13,2022-03-04,129.88
7,2022-03-04,13,2022-03-15,147.22
8,2022-03-15,13,2022-03-24,151.61
9,2022-03-24,13,2022-04-04,154.36
10,2022-04-04,13,2022-04-19,146.54
11,2022-04-19,13,2022-04-28,154.25
12,2022-04-28,13,2022-05-11,148.7
13,2022-05-11,13,2022-05-23,154.03
14,2022-05-23,13,2022-06-01,160.08
15,2022-06-01,13,2022-06-13,163.22
16,2022-06-13,13,2022-06-22,183.04
17,2022-06-22,13,2022-07-01,157.06
18,2022-07-01,13,2022-07-12,165.66
19,2022-07-12,13,2022-07-22,168.11
20,2022-07-22,13,2022-08-04,159.75
21,2022-08-04,13,2022-08-16,159.64
22,2022-08-16,13,2022-08-25,156.43
23,2022-08-25,13,2022-09-05,167.79
24,2022-09-05,13,2022-09-14,171.89
25,2022-09-14,13,2022-09-23,167.11
26,2022-09-23,13,2022-10-04,173.09
27,2022-10-04,13,2022-10-17,166.06
28,2022-10-17,13,2022-10-27,169.48
29,2022-10-27,13,2022-11-07,167.6
30,2022-11-07,13,2022-11-16,194.78
31,2022-11-16,13,2022-11-25,182.2
32,2022-11-25,13,2022-12-07,185.55
33,2022-12-07,13,2022-12-19,179.02
34,2022-12-19,13,2022-12-28,158.06
