Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,112.37
1,2022-01-04,13,2022-01-13,117.59
2,2022-01-13,13,2022-01-24,122.27
3,2022-01-24,13,2022-02-02,124.94
4,2022-02-02,13,2022-02-11,127.84
5,2022-02-11,13,2022-02-23,134.01
6,2022-02-23,13,2022-03-04,132.9
7,2022-03-04,13,2022-03-15,153.41
8,2022-03-15,13,2022-03-24,129.88
9,2022-03-24,13,2022-04-04,142.7
10,2022-04-04,13,2022-04-19,143.59
11,2022-04-19,13,2022-04-28,140.59
12,2022-04-28,13,2022-05-11,140.18
13,2022-05-11,13,2022-05-23,146.65
14,2022-05-23,13,2022-06-01,154.49
15,2022-06-01,13,2022-06-13,159.32
16,2022-06-13,13,2022-06-22,167.86
17,2022-06-22,13,2022-07-01,151.68
18,2022-07-01,13,2022-07-12,157.0
19,2022-07-12,13,2022-07-22,159.21
20,2022-07-22,13,2022-08-04,163.96
21,2022-08-04,13,2022-08-16,157.34
22,2022-08-16,13,2022-08-25,153.69
23,2022-08-25,13,2022-09-05,170.88
24,2022-09-05,13,2022-09-14,172.12
25,2022-09-14,13,2022-09-23,164.15
26,2022-09-23,13,2022-10-04,169.14
27,2022-10-04,13,2022-10-17,156.33
28,2022-10-17,13,2022-10-27,173.08
29,2022-10-27,13,2022-11-07,177.57
30,2022-11-07,13,2022-11-16,188.68
31,2022-11-16,13,2022-11-25,186.88
32,2022-11-25,13,2022-12-07,187.4
33,2022-12-07,13,2022-12-19,165.2
34,2022-12-19,13,2022-12-28,167.57
