Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,116.46
1,2022-01-04,13,2022-01-13,107.61
2,2022-01-13,13,2022-01-24,132.2
3,2022-01-24,13,2022-02-02,108.44
4,2022-02-02,13,2022-02-11,110.86
5,2022-02-11,13,2022-02-23,153.02
6,2022-02-23,13,2022-03-04,109.81
7,2022-03-04,13,2022-03-15,158.04
8,2022-03-15,13,2022-03-24,146.62
9,2022-03-24,13,2022-04-04,145.96
10,2022-04-04,13,2022-04-19,187.45
11,2022-04-19,13,2022-04-28,167.94
12,2022-04-28,13,2022-05-11,185.9
13,2022-05-11,13,2022-05-23,173.39
14,2022-05-23,13,2022-06-01,167.82
15,2022-06-01,13,2022-06-13,165.05
16,2022-06-13,13,2022-06-22,203.69
17,2022-06-22,13,2022-07-01,105.24
18,2022-07-01,13,2022-07-12,147.45
19,2022-07-12,13,2022-07-22,138.42
20,2022-07-22,13,2022-08-04,139.02
21,2022-08-04,13,2022-08-16,182.16
22,2022-08-16,13,2022-08-25,154.79
23,2022-08-25,13,2022-09-05,144.84
24,2022-09-05,13,2022-09-14,212.2
25,2022-09-14,13,2022-09-23,175.52
26,2022-09-23,13,2022-10-04,210.19
27,2022-10-04,13,2022-10-17,182.4
28,2022-10-17,13,2022-10-27,220.75
29,2022-10-27,13,2022-11-07,210.77
30,2022-11-07,13,2022-11-16,222.45
31,2022-11-16,13,2022-11-25,215.71
32,2022-11-25,13,2022-12-07,186.05
33,2022-12-07,13,2022-12-19,132.07
34,2022-12-19,13,2022-12-28,172.31
