Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,117.74
1,2022-01-04,13,2022-01-13,120.39
2,2022-01-13,13,2022-01-24,120.12
3,2022-01-24,13,2022-02-02,127.54
4,2022-02-02,13,2022-02-11,122.83
5,2022-02-11,13,2022-02-23,132.95
6,2022-02-23,13,2022-03-04,129.39
7,2022-03-04,13,2022-03-15,151.91
8,2022-03-15,13,2022-03-24,136.23
9,2022-03-24,13,2022-04-04,147.87
10,2022-04-04,13,2022-04-19,143.13
11,2022-04-19,13,2022-04-28,145.46
12,2022-04-28,13,2022-05-11,143.03
13,2022-05-11,13,2022-05-23,145.81
14,2022-05-23,13,2022-06-01,160.64
15,2022-06-01,13,2022-06-13,166.35
16,2022-06-13,13,2022-06-22,170.33
17,2022-06-22,13,2022-07-01,164.86
18,2022-07-01,13,2022-07-12,165.04
19,2022-07-12,13,2022-07-22,161.79
20,2022-07-22,13,2022-08-04,161.74
21,2022-08-04,13,2022-08-16,154.17
22,2022-08-16,13,2022-08-25,148.33
23,2022-08-25,13,2022-09-05,170.2
24,2022-09-05,13,2022-09-14,172.34
25,2022-09-14,13,2022-09-23,169.37
26,2022-09-23,13,2022-10-04,177.08
27,2022-10-04,13,2022-10-17,164.6
28,2022-10-17,13,2022-10-27,174.11
29,2022-10-27,13,2022-11-07,173.55
30,2022-11-07,13,2022-11-16,183.58
31,2022-11-16,13,2022-11-25,176.94
32,2022-11-25,13,2022-12-07,183.08
33,2022-12-07,13,2022-12-19,170.31
34,2022-12-19,13,2022-12-28,165.55
