Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.09
1,2022-01-04,13,2022-01-13,118.48
2,2022-01-13,13,2022-01-24,121.23
3,2022-01-24,13,2022-02-02,123.0
4,2022-02-02,13,2022-02-11,129.44
5,2022-02-11,13,2022-02-23,131.44
6,2022-02-23,13,2022-03-04,131.96
7,2022-03-04,13,2022-03-15,131.1
8,2022-03-15,13,2022-03-24,139.57
9,2022-03-24,13,2022-04-04,140.07
10,2022-04-04,13,2022-04-19,143.03
11,2022-04-19,13,2022-04-28,143.05
12,2022-04-28,13,2022-05-11,141.62
13,2022-05-11,13,2022-05-23,145.03
14,2022-05-23,13,2022-06-01,147.53
15,2022-06-01,13,2022-06-13,153.36
16,2022-06-13,13,2022-06-22,152.6
17,2022-06-22,13,2022-07-01,148.85
18,2022-07-01,13,2022-07-12,153.38
19,2022-07-12,13,2022-07-22,156.31
20,2022-07-22,13,2022-08-04,159.38
21,2022-08-04,13,2022-08-16,153.49
22,2022-08-16,13,2022-08-25,153.23
23,2022-08-25,13,2022-09-05,155.37
24,2022-09-05,13,2022-09-14,158.46
25,2022-09-14,13,2022-09-23,160.4
26,2022-09-23,13,2022-10-04,160.28
27,2022-10-04,13,2022-10-17,159.45
28,2022-10-17,13,2022-10-27,164.93
29,2022-10-27,13,2022-11-07,165.72
30,2022-11-07,13,2022-11-16,171.91
31,2022-11-16,13,2022-11-25,179.81
32,2022-11-25,13,2022-12-07,180.98
33,2022-12-07,13,2022-12-19,176.75
34,2022-12-19,13,2022-12-28,174.62
