Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.98
1,2022-01-04,13,2022-01-13,119.96
2,2022-01-13,13,2022-01-24,119.2
3,2022-01-24,13,2022-02-02,122.63
4,2022-02-02,13,2022-02-11,129.22
5,2022-02-11,13,2022-02-23,136.48
6,2022-02-23,13,2022-03-04,128.64
7,2022-03-04,13,2022-03-15,128.99
8,2022-03-15,13,2022-03-24,138.98
9,2022-03-24,13,2022-04-04,136.01
10,2022-04-04,13,2022-04-19,142.95
11,2022-04-19,13,2022-04-28,138.61
12,2022-04-28,13,2022-05-11,143.45
13,2022-05-11,13,2022-05-23,145.96
14,2022-05-23,13,2022-06-01,149.41
15,2022-06-01,13,2022-06-13,164.12
16,2022-06-13,13,2022-06-22,161.06
17,2022-06-22,13,2022-07-01,150.91
18,2022-07-01,13,2022-07-12,149.23
19,2022-07-12,13,2022-07-22,152.71
20,2022-07-22,13,2022-08-04,166.78
21,2022-08-04,13,2022-08-16,154.91
22,2022-08-16,13,2022-08-25,143.94
23,2022-08-25,13,2022-09-05,158.53
24,2022-09-05,13,2022-09-14,160.32
25,2022-09-14,13,2022-09-23,161.46
26,2022-09-23,13,2022-10-04,164.24
27,2022-10-04,13,2022-10-17,160.27
28,2022-10-17,13,2022-10-27,164.39
29,2022-10-27,13,2022-11-07,172.24
30,2022-11-07,13,2022-11-16,179.71
31,2022-11-16,13,2022-11-25,188.05
32,2022-11-25,13,2022-12-07,186.06
33,2022-12-07,13,2022-12-19,178.77
34,2022-12-19,13,2022-12-28,172.93
