Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,120.04
1,2022-01-04,13,2022-01-13,117.87
2,2022-01-13,13,2022-01-24,124.19
3,2022-01-24,13,2022-02-02,119.44
4,2022-02-02,13,2022-02-11,119.06
5,2022-02-11,13,2022-02-23,134.54
6,2022-02-23,13,2022-03-04,129.6
7,2022-03-04,13,2022-03-15,144.02
8,2022-03-15,13,2022-03-24,139.59
9,2022-03-24,13,2022-04-04,159.4
10,2022-04-04,13,2022-04-19,149.69
11,2022-04-19,13,2022-04-28,148.62
12,2022-04-28,13,2022-05-11,141.66
13,2022-05-11,13,2022-05-23,148.15
14,2022-05-23,13,2022-06-01,167.97
15,2022-06-01,13,2022-06-13,167.6
16,2022-06-13,13,2022-06-22,180.32
17,2022-06-22,13,2022-07-01,160.51
18,2022-07-01,13,2022-07-12,167.2
19,2022-07-12,13,2022-07-22,159.2
20,2022-07-22,13,2022-08-04,156.72
21,2022-08-04,13,2022-08-16,155.99
22,2022-08-16,13,2022-08-25,151.96
23,2022-08-25,13,2022-09-05,179.17
24,2022-09-05,13,2022-09-14,175.08
25,2022-09-14,13,2022-09-23,175.52
26,2022-09-23,13,2022-10-04,170.7
27,2022-10-04,13,2022-10-17,167.44
28,2022-10-17,13,2022-10-27,176.48
29,2022-10-27,13,2022-11-07,172.06
30,2022-11-07,13,2022-11-16,182.17
31,2022-11-16,13,2022-11-25,180.86
32,2022-11-25,13,2022-12-07,189.38
33,2022-12-07,13,2022-12-19,168.05
34,2022-12-19,13,2022-12-28,161.22
