Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.41
1,2022-01-04,13,2022-01-13,121.77
2,2022-01-13,13,2022-01-24,126.37
3,2022-01-24,13,2022-02-02,119.99
4,2022-02-02,13,2022-02-11,131.13
5,2022-02-11,13,2022-02-23,137.42
6,2022-02-23,13,2022-03-04,133.27
7,2022-03-04,13,2022-03-15,156.23
8,2022-03-15,13,2022-03-24,148.74
9,2022-03-24,13,2022-04-04,151.11
10,2022-04-04,13,2022-04-19,143.74
11,2022-04-19,13,2022-04-28,150.28
12,2022-04-28,13,2022-05-11,150.73
13,2022-05-11,13,2022-05-23,147.74
14,2022-05-23,13,2022-06-01,158.31
15,2022-06-01,13,2022-06-13,156.03
16,2022-06-13,13,2022-06-22,171.65
17,2022-06-22,13,2022-07-01,151.37
18,2022-07-01,13,2022-07-12,156.44
19,2022-07-12,13,2022-07-22,157.29
20,2022-07-22,13,2022-08-04,156.57
21,2022-08-04,13,2022-08-16,164.63
22,2022-08-16,13,2022-08-25,158.63
23,2022-08-25,13,2022-09-05,170.06
24,2022-09-05,13,2022-09-14,173.15
25,2022-09-14,13,2022-09-23,169.95
26,2022-09-23,13,2022-10-04,170.28
27,2022-10-04,13,2022-10-17,161.37
28,2022-10-17,13,2022-10-27,168.02
29,2022-10-27,13,2022-11-07,181.24
30,2022-11-07,13,2022-11-16,200.38
31,2022-11-16,13,2022-11-25,181.2
32,2022-11-25,13,2022-12-07,186.93
33,2022-12-07,13,2022-12-19,169.64
34,2022-12-19,13,2022-12-28,165.28
