Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,114.71
1,2022-01-04,13,2022-01-13,118.48
2,2022-01-13,13,2022-01-24,124.17
3,2022-01-24,13,2022-02-02,125.73
4,2022-02-02,13,2022-02-11,128.91
5,2022-02-11,13,2022-02-23,131.59
6,2022-02-23,13,2022-03-04,128.36
7,2022-03-04,13,2022-03-15,153.08
8,2022-03-15,13,2022-03-24,128.71
9,2022-03-24,13,2022-04-04,146.67
10,2022-04-04,13,2022-04-19,137.49
11,2022-04-19,13,2022-04-28,149.88
12,2022-04-28,13,2022-05-11,144.22
13,2022-05-11,13,2022-05-23,146.6
14,2022-05-23,13,2022-06-01,161.11
15,2022-06-01,13,2022-06-13,166.86
16,2022-06-13,13,2022-06-22,163.41
17,2022-06-22,13,2022-07-01,160.22
18,2022-07-01,13,2022-07-12,157.9
19,2022-07-12,13,2022-07-22,156.52
20,2022-07-22,13,2022-08-04,153.57
21,2022-08-04,13,2022-08-16,150.35
22,2022-08-16,13,2022-08-25,151.31
23,2022-08-25,13,2022-09-05,164.7
24,2022-09-05,13,2022-09-14,156.59
25,2022-09-14,13,2022-09-23,163.02
26,2022-09-23,13,2022-10-04,167.48
27,2022-10-04,13,2022-10-17,163.59
28,2022-10-17,13,2022-10-27,172.79
29,2022-10-27,13,2022-11-07,181.73
30,2022-11-07,13,2022-11-16,188.08
31,2022-11-16,13,2022-11-25,185.63
32,2022-11-25,13,2022-12-07,187.73
33,2022-12-07,13,2022-12-19,166.28
34,2022-12-19,13,2022-12-28,170.04
