Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,117.41
1,2022-01-04,13,2022-01-13,119.37
2,2022-01-13,13,2022-01-24,119.28
3,2022-01-24,13,2022-02-02,120.51
4,2022-02-02,13,2022-02-11,133.63
5,2022-02-11,13,2022-02-23,131.07
6,2022-02-23,13,2022-03-04,130.09
7,2022-03-04,13,2022-03-15,137.92
8,2022-03-15,13,2022-03-24,139.12
9,2022-03-24,13,2022-04-04,142.38
10,2022-04-04,13,2022-04-19,137.41
11,2022-04-19,13,2022-04-28,137.31
12,2022-04-28,13,2022-05-11,141.31
13,2022-05-11,13,2022-05-23,143.86
14,2022-05-23,13,2022-06-01,143.94
15,2022-06-01,13,2022-06-13,147.94
16,2022-06-13,13,2022-06-22,150.97
17,2022-06-22,13,2022-07-01,153.08
18,2022-07-01,13,2022-07-12,152.67
19,2022-07-12,13,2022-07-22,153.23
20,2022-07-22,13,2022-08-04,154.96
21,2022-08-04,13,2022-08-16,156.06
22,2022-08-16,13,2022-08-25,155.15
23,2022-08-25,13,2022-09-05,156.21
24,2022-09-05,13,2022-09-14,156.06
25,2022-09-14,13,2022-09-23,159.95
26,2022-09-23,13,2022-10-04,160.35
27,2022-10-04,13,2022-10-17,161.56
28,2022-10-17,13,2022-10-27,156.98
29,2022-10-27,13,2022-11-07,159.36
30,2022-11-07,13,2022-11-16,164.8
31,2022-11-16,13,2022-11-25,167.86
32,2022-11-25,13,2022-12-07,173.01
33,2022-12-07,13,2022-12-19,172.87
34,2022-12-19,13,2022-12-28,170.91
