Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,118.77
1,2022-01-04,13,2022-01-13,121.46
2,2022-01-13,13,2022-01-24,120.15
3,2022-01-24,13,2022-02-02,122.51
4,2022-02-02,13,2022-02-11,136.41
5,2022-02-11,13,2022-02-23,134.6
6,2022-02-23,13,2022-03-04,135.63
7,2022-03-04,13,2022-03-15,136.53
8,2022-03-15,13,2022-03-24,135.79
9,2022-03-24,13,2022-04-04,139.01
10,2022-04-04,13,2022-04-19,130.92
11,2022-04-19,13,2022-04-28,132.39
12,2022-04-28,13,2022-05-11,129.34
13,2022-05-11,13,2022-05-23,150.51
14,2022-05-23,13,2022-06-01,152.86
15,2022-06-01,13,2022-06-13,155.53
16,2022-06-13,13,2022-06-22,150.75
17,2022-06-22,13,2022-07-01,152.67
18,2022-07-01,13,2022-07-12,158.21
19,2022-07-12,13,2022-07-22,146.83
20,2022-07-22,13,2022-08-04,156.9
21,2022-08-04,13,2022-08-16,152.64
22,2022-08-16,13,2022-08-25,150.37
23,2022-08-25,13,2022-09-05,152.07
24,2022-09-05,13,2022-09-14,158.32
25,2022-09-14,13,2022-09-23,158.56
26,2022-09-23,13,2022-10-04,158.46
27,2022-10-04,13,2022-10-17,160.1
28,2022-10-17,13,2022-10-27,153.95
29,2022-10-27,13,2022-11-07,165.32
30,2022-11-07,13,2022-11-16,167.57
31,2022-11-16,13,2022-11-25,185.08
32,2022-11-25,13,2022-12-07,175.39
33,2022-12-07,13,2022-12-19,174.28
34,2022-12-19,13,2022-12-28,170.91
