Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,13,2022-01-04,128.74
1,2022-01-04,13,2022-01-13,123.08
2,2022-01-13,13,2022-01-24,123.22
3,2022-01-24,13,2022-02-02,149.57
4,2022-02-02,13,2022-02-11,96.68
5,2022-02-11,13,2022-02-23,143.45
6,2022-02-23,13,2022-03-04,156.65
7,2022-03-04,13,2022-03-15,175.74
8,2022-03-15,13,2022-03-24,141.88
9,2022-03-24,13,2022-04-04,193.81
10,2022-04-04,13,2022-04-19,50.18
11,2022-04-19,13,2022-04-28,145.18
12,2022-04-28,13,2022-05-11,124.34
13,2022-05-11,13,2022-05-23,119.15
14,2022-05-23,13,2022-06-01,169.25
15,2022-06-01,13,2022-06-13,228.75
16,2022-06-13,13,2022-06-22,160.32
17,2022-06-22,13,2022-07-01,161.0
18,2022-07-01,13,2022-07-12,154.66
19,2022-07-12,13,2022-07-22,166.61
20,2022-07-22,13,2022-08-04,195.55
21,2022-08-04,13,2022-08-16,88.13
22,2022-08-16,13,2022-08-25,112.08
23,2022-08-25,13,2022-09-05,228.59
24,2022-09-05,13,2022-09-14,315.4
25,2022-09-14,13,2022-09-23,144.22
26,2022-09-23,13,2022-10-04,187.87
27,2022-10-04,13,2022-10-17,9.39
28,2022-10-17,13,2022-10-27,186.5
29,2022-10-27,13,2022-11-07,104.81
30,2022-11-07,13,2022-11-16,155.9
31,2022-11-16,13,2022-11-25,140.17
32,2022-11-25,13,2022-12-07,204.14
33,2022-12-07,13,2022-12-19,171.12
34,2022-12-19,13,2022-12-28,135.71
