Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,56.47
1,2022-01-04,7,2022-01-13,56.84
2,2022-01-13,7,2022-01-24,57.31
3,2022-01-24,7,2022-02-02,58.82
4,2022-02-02,7,2022-02-11,53.31
5,2022-02-11,7,2022-02-23,57.24
6,2022-02-23,7,2022-03-04,56.89
7,2022-03-04,7,2022-03-15,46.48
8,2022-03-15,7,2022-03-24,50.46
9,2022-03-24,7,2022-04-04,54.4
10,2022-04-04,7,2022-04-19,49.6
11,2022-04-19,7,2022-04-28,47.37
12,2022-04-28,7,2022-05-11,48.9
13,2022-05-11,7,2022-05-23,48.67
14,2022-05-23,7,2022-06-01,45.59
15,2022-06-01,7,2022-06-13,46.47
16,2022-06-13,7,2022-06-22,46.35
17,2022-06-22,7,2022-07-01,45.44
18,2022-07-01,7,2022-07-12,46.15
19,2022-07-12,7,2022-07-22,49.85
20,2022-07-22,7,2022-08-04,43.6
21,2022-08-04,7,2022-08-16,43.64
22,2022-08-16,7,2022-08-25,50.65
23,2022-08-25,7,2022-09-05,47.19
24,2022-09-05,7,2022-09-14,43.31
25,2022-09-14,7,2022-09-23,46.78
26,2022-09-23,7,2022-10-04,43.57
27,2022-10-04,7,2022-10-17,40.12
28,2022-10-17,7,2022-10-27,40.32
29,2022-10-27,7,2022-11-07,42.52
30,2022-11-07,7,2022-11-16,48.52
31,2022-11-16,7,2022-11-25,46.72
32,2022-11-25,7,2022-12-07,45.85
33,2022-12-07,7,2022-12-19,46.83
34,2022-12-19,7,2022-12-28,47.67
