Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,58.33
1,2022-01-04,7,2022-01-13,59.21
2,2022-01-13,7,2022-01-24,59.79
3,2022-01-24,7,2022-02-02,58.7
4,2022-02-02,7,2022-02-11,58.63
5,2022-02-11,7,2022-02-23,58.52
6,2022-02-23,7,2022-03-04,53.5
7,2022-03-04,7,2022-03-15,50.01
8,2022-03-15,7,2022-03-24,49.44
9,2022-03-24,7,2022-04-04,47.58
10,2022-04-04,7,2022-04-19,47.69
11,2022-04-19,7,2022-04-28,50.41
12,2022-04-28,7,2022-05-11,47.48
13,2022-05-11,7,2022-05-23,45.16
14,2022-05-23,7,2022-06-01,47.58
15,2022-06-01,7,2022-06-13,48.85
16,2022-06-13,7,2022-06-22,47.23
17,2022-06-22,7,2022-07-01,46.21
18,2022-07-01,7,2022-07-12,48.45
19,2022-07-12,7,2022-07-22,46.62
20,2022-07-22,7,2022-08-04,45.08
21,2022-08-04,7,2022-08-16,45.01
22,2022-08-16,7,2022-08-25,48.33
23,2022-08-25,7,2022-09-05,47.56
24,2022-09-05,7,2022-09-14,44.74
25,2022-09-14,7,2022-09-23,44.75
26,2022-09-23,7,2022-10-04,41.2
27,2022-10-04,7,2022-10-17,43.04
28,2022-10-17,7,2022-10-27,41.71
29,2022-10-27,7,2022-11-07,41.82
30,2022-11-07,7,2022-11-16,48.24
31,2022-11-16,7,2022-11-25,47.83
32,2022-11-25,7,2022-12-07,46.82
33,2022-12-07,7,2022-12-19,44.69
34,2022-12-19,7,2022-12-28,44.94
