param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,29.22,14.41,40.0,40.0,40.0,5.71,2.86
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,28.28,14.06,40.0,40.0,40.0,5.71,2.86
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,27.81,13.84,40.0,40.0,40.0,5.71,2.86
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,30.31,14.87,40.0,40.0,40.0,5.71,2.86
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,23.05,13.57,42.86,37.14,37.14,11.43,8.57
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,21.27,11.21,42.86,40.0,40.0,8.57,5.71
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,4.59,2.7,57.14,22.86,22.86,34.29,34.29
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,3.4,2.03,65.71,22.86,22.86,42.86,42.86
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,3.69,2.07,57.14,25.71,25.71,34.29,31.43
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,4.42,2.64,60.0,25.71,25.71,34.29,34.29
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,3.66,2.26,62.86,20.0,20.0,42.86,42.86
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,3.48,2.05,51.43,28.57,25.71,28.57,28.57
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,4.65,2.72,57.14,25.71,25.71,31.43,31.43
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,3.52,2.17,60.0,20.0,20.0,40.0,40.0
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,3.31,1.98,54.29,28.57,25.71,31.43,31.43
