Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,59.5
1,2022-01-04,7,2022-01-13,58.26
2,2022-01-13,7,2022-01-24,59.92
3,2022-01-24,7,2022-02-02,60.77
4,2022-02-02,7,2022-02-11,57.36
5,2022-02-11,7,2022-02-23,59.52
6,2022-02-23,7,2022-03-04,49.62
7,2022-03-04,7,2022-03-15,52.75
8,2022-03-15,7,2022-03-24,49.36
9,2022-03-24,7,2022-04-04,51.75
10,2022-04-04,7,2022-04-19,50.06
11,2022-04-19,7,2022-04-28,51.62
12,2022-04-28,7,2022-05-11,50.39
13,2022-05-11,7,2022-05-23,44.95
14,2022-05-23,7,2022-06-01,41.72
15,2022-06-01,7,2022-06-13,49.43
16,2022-06-13,7,2022-06-22,45.36
17,2022-06-22,7,2022-07-01,46.22
18,2022-07-01,7,2022-07-12,47.95
19,2022-07-12,7,2022-07-22,45.58
20,2022-07-22,7,2022-08-04,44.63
21,2022-08-04,7,2022-08-16,44.82
22,2022-08-16,7,2022-08-25,47.05
23,2022-08-25,7,2022-09-05,47.88
24,2022-09-05,7,2022-09-14,45.82
25,2022-09-14,7,2022-09-23,45.78
26,2022-09-23,7,2022-10-04,40.67
27,2022-10-04,7,2022-10-17,41.43
28,2022-10-17,7,2022-10-27,42.13
29,2022-10-27,7,2022-11-07,42.38
30,2022-11-07,7,2022-11-16,45.69
31,2022-11-16,7,2022-11-25,48.33
32,2022-11-25,7,2022-12-07,45.04
33,2022-12-07,7,2022-12-19,45.28
34,2022-12-19,7,2022-12-28,45.63
