Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,61.16
1,2022-01-04,7,2022-01-13,67.17
2,2022-01-13,7,2022-01-24,60.14
3,2022-01-24,7,2022-02-02,55.85
4,2022-02-02,7,2022-02-11,57.97
5,2022-02-11,7,2022-02-23,55.67
6,2022-02-23,7,2022-03-04,53.95
7,2022-03-04,7,2022-03-15,51.68
8,2022-03-15,7,2022-03-24,43.39
9,2022-03-24,7,2022-04-04,49.03
10,2022-04-04,7,2022-04-19,46.79
11,2022-04-19,7,2022-04-28,48.2
12,2022-04-28,7,2022-05-11,50.8
13,2022-05-11,7,2022-05-23,53.61
14,2022-05-23,7,2022-06-01,52.9
15,2022-06-01,7,2022-06-13,50.21
16,2022-06-13,7,2022-06-22,43.54
17,2022-06-22,7,2022-07-01,42.47
18,2022-07-01,7,2022-07-12,45.44
19,2022-07-12,7,2022-07-22,44.16
20,2022-07-22,7,2022-08-04,41.86
21,2022-08-04,7,2022-08-16,46.08
22,2022-08-16,7,2022-08-25,50.56
23,2022-08-25,7,2022-09-05,48.29
24,2022-09-05,7,2022-09-14,43.83
25,2022-09-14,7,2022-09-23,48.83
26,2022-09-23,7,2022-10-04,41.57
27,2022-10-04,7,2022-10-17,39.29
28,2022-10-17,7,2022-10-27,40.39
29,2022-10-27,7,2022-11-07,42.4
30,2022-11-07,7,2022-11-16,46.57
31,2022-11-16,7,2022-11-25,49.07
32,2022-11-25,7,2022-12-07,44.67
33,2022-12-07,7,2022-12-19,45.66
34,2022-12-19,7,2022-12-28,49.07
