Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,59.19
1,2022-01-04,7,2022-01-13,58.86
2,2022-01-13,7,2022-01-24,60.03
3,2022-01-24,7,2022-02-02,60.25
4,2022-02-02,7,2022-02-11,57.84
5,2022-02-11,7,2022-02-23,58.87
6,2022-02-23,7,2022-03-04,51.63
7,2022-03-04,7,2022-03-15,50.64
8,2022-03-15,7,2022-03-24,50.55
9,2022-03-24,7,2022-04-04,51.21
10,2022-04-04,7,2022-04-19,49.28
11,2022-04-19,7,2022-04-28,49.88
12,2022-04-28,7,2022-05-11,48.53
13,2022-05-11,7,2022-05-23,44.19
14,2022-05-23,7,2022-06-01,47.08
15,2022-06-01,7,2022-06-13,48.72
16,2022-06-13,7,2022-06-22,47.26
17,2022-06-22,7,2022-07-01,46.62
18,2022-07-01,7,2022-07-12,46.22
19,2022-07-12,7,2022-07-22,45.95
20,2022-07-22,7,2022-08-04,45.98
21,2022-08-04,7,2022-08-16,46.1
22,2022-08-16,7,2022-08-25,46.57
23,2022-08-25,7,2022-09-05,46.38
24,2022-09-05,7,2022-09-14,45.82
25,2022-09-14,7,2022-09-23,46.35
26,2022-09-23,7,2022-10-04,44.1
27,2022-10-04,7,2022-10-17,43.46
28,2022-10-17,7,2022-10-27,41.25
29,2022-10-27,7,2022-11-07,42.2
30,2022-11-07,7,2022-11-16,46.05
31,2022-11-16,7,2022-11-25,46.14
32,2022-11-25,7,2022-12-07,45.75
33,2022-12-07,7,2022-12-19,46.23
34,2022-12-19,7,2022-12-28,45.65
