Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,302363.47
1,2022-01-04,7,2022-01-13,269115.88
2,2022-01-13,7,2022-01-24,-155246.44
3,2022-01-24,7,2022-02-02,39980.93
4,2022-02-02,7,2022-02-11,571.57
5,2022-02-11,7,2022-02-23,5038.31
6,2022-02-23,7,2022-03-04,8756.36
7,2022-03-04,7,2022-03-15,9456.52
8,2022-03-15,7,2022-03-24,-770.76
9,2022-03-24,7,2022-04-04,1807.52
10,2022-04-04,7,2022-04-19,1563.38
11,2022-04-19,7,2022-04-28,-2126.38
12,2022-04-28,7,2022-05-11,-565.07
13,2022-05-11,7,2022-05-23,2392.4
14,2022-05-23,7,2022-06-01,-844.59
15,2022-06-01,7,2022-06-13,696.48
16,2022-06-13,7,2022-06-22,2176.2
17,2022-06-22,7,2022-07-01,618.42
18,2022-07-01,7,2022-07-12,-645.42
19,2022-07-12,7,2022-07-22,298.6
20,2022-07-22,7,2022-08-04,417.22
21,2022-08-04,7,2022-08-16,-2529.57
22,2022-08-16,7,2022-08-25,75.31
23,2022-08-25,7,2022-09-05,2.19
24,2022-09-05,7,2022-09-14,138.65
25,2022-09-14,7,2022-09-23,159.44
26,2022-09-23,7,2022-10-04,-217.32
27,2022-10-04,7,2022-10-17,241.9
28,2022-10-17,7,2022-10-27,303.3
29,2022-10-27,7,2022-11-07,-560.36
30,2022-11-07,7,2022-11-16,-198.15
31,2022-11-16,7,2022-11-25,-137.05
32,2022-11-25,7,2022-12-07,-1844.85
33,2022-12-07,7,2022-12-19,271.07
34,2022-12-19,7,2022-12-28,-1775.32
