Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.85
1,2022-01-04,7,2022-01-13,58.84
2,2022-01-13,7,2022-01-24,59.81
3,2022-01-24,7,2022-02-02,57.97
4,2022-02-02,7,2022-02-11,59.43
5,2022-02-11,7,2022-02-23,58.5
6,2022-02-23,7,2022-03-04,50.46
7,2022-03-04,7,2022-03-15,44.71
8,2022-03-15,7,2022-03-24,50.43
9,2022-03-24,7,2022-04-04,50.67
10,2022-04-04,7,2022-04-19,50.51
11,2022-04-19,7,2022-04-28,52.71
12,2022-04-28,7,2022-05-11,48.24
13,2022-05-11,7,2022-05-23,43.71
14,2022-05-23,7,2022-06-01,48.46
15,2022-06-01,7,2022-06-13,48.18
16,2022-06-13,7,2022-06-22,49.3
17,2022-06-22,7,2022-07-01,45.95
18,2022-07-01,7,2022-07-12,47.57
19,2022-07-12,7,2022-07-22,47.33
20,2022-07-22,7,2022-08-04,45.64
21,2022-08-04,7,2022-08-16,45.42
22,2022-08-16,7,2022-08-25,46.54
23,2022-08-25,7,2022-09-05,48.07
24,2022-09-05,7,2022-09-14,46.31
25,2022-09-14,7,2022-09-23,46.1
26,2022-09-23,7,2022-10-04,41.58
27,2022-10-04,7,2022-10-17,42.87
28,2022-10-17,7,2022-10-27,41.53
29,2022-10-27,7,2022-11-07,41.65
30,2022-11-07,7,2022-11-16,48.13
31,2022-11-16,7,2022-11-25,45.38
32,2022-11-25,7,2022-12-07,45.48
33,2022-12-07,7,2022-12-19,45.95
34,2022-12-19,7,2022-12-28,46.95
