Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,61.11
1,2022-01-04,7,2022-01-13,62.01
2,2022-01-13,7,2022-01-24,58.02
3,2022-01-24,7,2022-02-02,59.02
4,2022-02-02,7,2022-02-11,55.97
5,2022-02-11,7,2022-02-23,58.01
6,2022-02-23,7,2022-03-04,55.27
7,2022-03-04,7,2022-03-15,49.02
8,2022-03-15,7,2022-03-24,48.37
9,2022-03-24,7,2022-04-04,51.21
10,2022-04-04,7,2022-04-19,49.46
11,2022-04-19,7,2022-04-28,50.78
12,2022-04-28,7,2022-05-11,46.19
13,2022-05-11,7,2022-05-23,44.61
14,2022-05-23,7,2022-06-01,45.21
15,2022-06-01,7,2022-06-13,47.53
16,2022-06-13,7,2022-06-22,46.33
17,2022-06-22,7,2022-07-01,45.17
18,2022-07-01,7,2022-07-12,44.85
19,2022-07-12,7,2022-07-22,43.91
20,2022-07-22,7,2022-08-04,46.27
21,2022-08-04,7,2022-08-16,45.35
22,2022-08-16,7,2022-08-25,46.32
23,2022-08-25,7,2022-09-05,47.06
24,2022-09-05,7,2022-09-14,45.64
25,2022-09-14,7,2022-09-23,46.2
26,2022-09-23,7,2022-10-04,42.79
27,2022-10-04,7,2022-10-17,41.47
28,2022-10-17,7,2022-10-27,40.98
29,2022-10-27,7,2022-11-07,42.9
30,2022-11-07,7,2022-11-16,50.14
31,2022-11-16,7,2022-11-25,46.52
32,2022-11-25,7,2022-12-07,44.6
33,2022-12-07,7,2022-12-19,44.96
34,2022-12-19,7,2022-12-28,45.67
