param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
XGBModel_lags12_lags_past_covariates12_output_chunk_length1.csv,3.52,2.39,68.57,34.29,31.43,37.14,37.14
XGBModel_lags12_lags_past_covariates16_output_chunk_length1.csv,3.75,2.3,65.71,31.43,31.43,37.14,37.14
XGBModel_lags12_lags_past_covariates1_output_chunk_length1.csv,4.04,2.54,62.86,25.71,25.71,37.14,37.14
XGBModel_lags12_lags_past_covariates20_output_chunk_length1.csv,4.26,2.51,48.57,22.86,22.86,25.71,25.71
XGBModel_lags12_lags_past_covariates24_output_chunk_length1.csv,3.57,2.31,57.14,25.71,22.86,37.14,37.14
XGBModel_lags12_lags_past_covariates2_output_chunk_length1.csv,4.17,2.59,54.29,22.86,22.86,31.43,31.43
XGBModel_lags12_lags_past_covariates3_output_chunk_length1.csv,3.47,2.06,65.71,25.71,22.86,45.71,42.86
XGBModel_lags12_lags_past_covariates4_output_chunk_length1.csv,3.87,2.6,68.57,28.57,25.71,42.86,42.86
XGBModel_lags12_lags_past_covariates8_output_chunk_length1.csv,3.82,2.52,60.0,22.86,20.0,40.0,40.0
XGBModel_lags16_lags_past_covariates12_output_chunk_length1.csv,3.93,2.47,68.57,34.29,31.43,37.14,37.14
XGBModel_lags16_lags_past_covariates16_output_chunk_length1.csv,3.8,2.34,65.71,31.43,31.43,37.14,37.14
XGBModel_lags16_lags_past_covariates1_output_chunk_length1.csv,3.48,2.16,60.0,28.57,28.57,31.43,31.43
XGBModel_lags16_lags_past_covariates20_output_chunk_length1.csv,4.43,2.6,48.57,22.86,22.86,25.71,25.71
XGBModel_lags16_lags_past_covariates24_output_chunk_length1.csv,3.51,2.24,57.14,25.71,22.86,34.29,34.29
XGBModel_lags16_lags_past_covariates2_output_chunk_length1.csv,3.38,2.04,62.86,34.29,31.43,31.43,31.43
XGBModel_lags16_lags_past_covariates3_output_chunk_length1.csv,3.57,2.13,57.14,28.57,28.57,31.43,31.43
XGBModel_lags16_lags_past_covariates4_output_chunk_length1.csv,3.9,2.53,51.43,28.57,22.86,28.57,28.57
XGBModel_lags16_lags_past_covariates8_output_chunk_length1.csv,3.91,2.41,65.71,34.29,31.43,34.29,34.29
