Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,59.29
1,2022-01-04,7,2022-01-13,59.91
2,2022-01-13,7,2022-01-24,60.46
3,2022-01-24,7,2022-02-02,58.99
4,2022-02-02,7,2022-02-11,57.76
5,2022-02-11,7,2022-02-23,58.6
6,2022-02-23,7,2022-03-04,52.14
7,2022-03-04,7,2022-03-15,50.88
8,2022-03-15,7,2022-03-24,48.93
9,2022-03-24,7,2022-04-04,49.66
10,2022-04-04,7,2022-04-19,48.79
11,2022-04-19,7,2022-04-28,49.11
12,2022-04-28,7,2022-05-11,48.69
13,2022-05-11,7,2022-05-23,45.91
14,2022-05-23,7,2022-06-01,47.16
15,2022-06-01,7,2022-06-13,48.77
16,2022-06-13,7,2022-06-22,48.31
17,2022-06-22,7,2022-07-01,48.07
18,2022-07-01,7,2022-07-12,46.93
19,2022-07-12,7,2022-07-22,47.06
20,2022-07-22,7,2022-08-04,46.73
21,2022-08-04,7,2022-08-16,46.77
22,2022-08-16,7,2022-08-25,47.17
23,2022-08-25,7,2022-09-05,46.84
24,2022-09-05,7,2022-09-14,49.29
25,2022-09-14,7,2022-09-23,48.29
26,2022-09-23,7,2022-10-04,45.0
27,2022-10-04,7,2022-10-17,44.15
28,2022-10-17,7,2022-10-27,43.45
29,2022-10-27,7,2022-11-07,43.33
30,2022-11-07,7,2022-11-16,45.94
31,2022-11-16,7,2022-11-25,46.29
32,2022-11-25,7,2022-12-07,46.15
33,2022-12-07,7,2022-12-19,45.88
34,2022-12-19,7,2022-12-28,46.47
