param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length12_modelLSTM_n_epochs15_output_chunk_length1.csv,23.14,11.55,40.0,37.14,37.14,8.57,5.71
BlockRNNModel_input_chunk_length16_modelLSTM_n_epochs15_output_chunk_length1.csv,21.05,11.06,42.86,40.0,40.0,8.57,5.71
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,28.27,14.04,40.0,40.0,40.0,5.71,2.86
BlockRNNModel_input_chunk_length20_modelLSTM_n_epochs15_output_chunk_length1.csv,22.48,11.6,40.0,37.14,37.14,8.57,5.71
BlockRNNModel_input_chunk_length24_modelLSTM_n_epochs15_output_chunk_length1.csv,15.73,8.38,40.0,34.29,34.29,11.43,8.57
BlockRNNModel_input_chunk_length2_modelLSTM_n_epochs15_output_chunk_length1.csv,25.58,13.2,40.0,40.0,40.0,5.71,2.86
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,29.37,15.01,42.86,40.0,40.0,8.57,5.71
BlockRNNModel_input_chunk_length4_modelLSTM_n_epochs15_output_chunk_length1.csv,26.41,13.37,40.0,40.0,40.0,5.71,2.86
BlockRNNModel_input_chunk_length8_modelLSTM_n_epochs15_output_chunk_length1.csv,27.08,13.83,40.0,40.0,40.0,5.71,2.86
LinearRegressionModel_lags12_lags_past_covariates12_output_chunk_length1.csv,5.94,3.64,51.43,28.57,28.57,22.86,22.86
LinearRegressionModel_lags12_lags_past_covariates16_output_chunk_length1.csv,7.2,4.11,45.71,28.57,22.86,22.86,22.86
LinearRegressionModel_lags12_lags_past_covariates1_output_chunk_length1.csv,4.6,3.41,54.29,28.57,25.71,34.29,31.43
LinearRegressionModel_lags12_lags_past_covariates20_output_chunk_length1.csv,8.35,4.91,40.0,25.71,20.0,20.0,20.0
LinearRegressionModel_lags12_lags_past_covariates24_output_chunk_length1.csv,9.44,5.64,54.29,34.29,25.71,34.29,28.57
LinearRegressionModel_lags12_lags_past_covariates2_output_chunk_length1.csv,5.24,3.17,45.71,31.43,28.57,20.0,20.0
LinearRegressionModel_lags12_lags_past_covariates3_output_chunk_length1.csv,4.98,2.96,48.57,25.71,25.71,25.71,25.71
LinearRegressionModel_lags12_lags_past_covariates4_output_chunk_length1.csv,4.4,2.72,54.29,28.57,28.57,28.57,25.71
LinearRegressionModel_lags12_lags_past_covariates8_output_chunk_length1.csv,4.89,3.07,60.0,31.43,31.43,31.43,28.57
LinearRegressionModel_lags16_lags_past_covariates12_output_chunk_length1.csv,5.65,3.34,51.43,31.43,25.71,25.71,25.71
LinearRegressionModel_lags16_lags_past_covariates16_output_chunk_length1.csv,7.2,4.11,45.71,28.57,22.86,22.86,22.86
LinearRegressionModel_lags16_lags_past_covariates1_output_chunk_length1.csv,4.73,3.36,60.0,34.29,31.43,34.29,31.43
LinearRegressionModel_lags16_lags_past_covariates20_output_chunk_length1.csv,8.35,4.91,40.0,25.71,20.0,20.0,20.0
LinearRegressionModel_lags16_lags_past_covariates24_output_chunk_length1.csv,9.44,5.64,54.29,34.29,25.71,34.29,28.57
LinearRegressionModel_lags16_lags_past_covariates2_output_chunk_length1.csv,5.13,3.15,48.57,31.43,28.57,22.86,22.86
LinearRegressionModel_lags16_lags_past_covariates3_output_chunk_length1.csv,4.92,2.88,45.71,22.86,22.86,25.71,25.71
LinearRegressionModel_lags16_lags_past_covariates4_output_chunk_length1.csv,4.61,2.76,54.29,28.57,28.57,28.57,25.71
LinearRegressionModel_lags16_lags_past_covariates8_output_chunk_length1.csv,4.9,2.99,57.14,31.43,28.57,31.43,28.57
LinearRegressionModel_lags1_lags_past_covariates12_output_chunk_length1.csv,5.96,3.65,51.43,28.57,28.57,22.86,22.86
LinearRegressionModel_lags1_lags_past_covariates16_output_chunk_length1.csv,7.2,4.11,45.71,28.57,22.86,22.86,22.86
LinearRegressionModel_lags1_lags_past_covariates1_output_chunk_length1.csv,4.64,3.31,51.43,31.43,25.71,31.43,28.57
LinearRegressionModel_lags1_lags_past_covariates20_output_chunk_length1.csv,8.34,4.9,40.0,25.71,20.0,20.0,20.0
