Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.64
1,2022-01-04,7,2022-01-13,56.55
2,2022-01-13,7,2022-01-24,58.12
3,2022-01-24,7,2022-02-02,55.59
4,2022-02-02,7,2022-02-11,58.49
5,2022-02-11,7,2022-02-23,57.92
6,2022-02-23,7,2022-03-04,51.2
7,2022-03-04,7,2022-03-15,52.38
8,2022-03-15,7,2022-03-24,53.5
9,2022-03-24,7,2022-04-04,52.58
10,2022-04-04,7,2022-04-19,49.45
11,2022-04-19,7,2022-04-28,50.68
12,2022-04-28,7,2022-05-11,49.71
13,2022-05-11,7,2022-05-23,44.46
14,2022-05-23,7,2022-06-01,46.54
15,2022-06-01,7,2022-06-13,48.22
16,2022-06-13,7,2022-06-22,46.49
17,2022-06-22,7,2022-07-01,45.61
18,2022-07-01,7,2022-07-12,47.63
19,2022-07-12,7,2022-07-22,45.56
20,2022-07-22,7,2022-08-04,44.81
21,2022-08-04,7,2022-08-16,46.77
22,2022-08-16,7,2022-08-25,48.34
23,2022-08-25,7,2022-09-05,46.77
24,2022-09-05,7,2022-09-14,42.86
25,2022-09-14,7,2022-09-23,45.65
26,2022-09-23,7,2022-10-04,42.79
27,2022-10-04,7,2022-10-17,44.31
28,2022-10-17,7,2022-10-27,43.68
29,2022-10-27,7,2022-11-07,42.37
30,2022-11-07,7,2022-11-16,47.93
31,2022-11-16,7,2022-11-25,45.4
32,2022-11-25,7,2022-12-07,44.09
33,2022-12-07,7,2022-12-19,44.53
34,2022-12-19,7,2022-12-28,44.88
