Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.26
1,2022-01-04,7,2022-01-13,58.84
2,2022-01-13,7,2022-01-24,59.5
3,2022-01-24,7,2022-02-02,59.38
4,2022-02-02,7,2022-02-11,56.06
5,2022-02-11,7,2022-02-23,59.55
6,2022-02-23,7,2022-03-04,55.07
7,2022-03-04,7,2022-03-15,51.07
8,2022-03-15,7,2022-03-24,51.42
9,2022-03-24,7,2022-04-04,51.82
10,2022-04-04,7,2022-04-19,47.8
11,2022-04-19,7,2022-04-28,50.17
12,2022-04-28,7,2022-05-11,46.64
13,2022-05-11,7,2022-05-23,41.4
14,2022-05-23,7,2022-06-01,45.36
15,2022-06-01,7,2022-06-13,47.81
16,2022-06-13,7,2022-06-22,43.54
17,2022-06-22,7,2022-07-01,43.87
18,2022-07-01,7,2022-07-12,45.33
19,2022-07-12,7,2022-07-22,46.21
20,2022-07-22,7,2022-08-04,44.36
21,2022-08-04,7,2022-08-16,45.92
22,2022-08-16,7,2022-08-25,47.16
23,2022-08-25,7,2022-09-05,47.26
24,2022-09-05,7,2022-09-14,45.53
25,2022-09-14,7,2022-09-23,45.0
26,2022-09-23,7,2022-10-04,41.85
27,2022-10-04,7,2022-10-17,42.81
28,2022-10-17,7,2022-10-27,39.91
29,2022-10-27,7,2022-11-07,39.73
30,2022-11-07,7,2022-11-16,46.92
31,2022-11-16,7,2022-11-25,46.56
32,2022-11-25,7,2022-12-07,45.63
33,2022-12-07,7,2022-12-19,45.7
34,2022-12-19,7,2022-12-28,46.65
