Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,4,2022-04-01,195600.49
1,2022-04-01,4,2022-01-13,35869.74
2,2022-01-13,4,2022-01-24,-97590.04
3,2022-01-24,4,2022-02-02,-37428.23
4,2022-02-02,4,2022-11-02,-9636.47
5,2022-11-02,4,2022-02-23,1347.19
6,2022-02-23,4,2022-04-03,8296.21
7,2022-04-03,4,2022-03-15,-18767.7
8,2022-03-15,4,2022-03-24,-8916.09
9,2022-03-24,4,2022-04-04,-5782.25
10,2022-04-04,4,2022-04-19,-3199.62
11,2022-04-19,4,2022-04-28,-587.93
12,2022-04-28,4,2022-11-05,1821.03
13,2022-11-05,4,2022-05-23,6196.76
14,2022-05-23,4,2022-01-06,1802.46
15,2022-01-06,4,2022-06-13,-4938.18
16,2022-06-13,4,2022-06-22,55.84
17,2022-06-22,4,2022-01-07,-4267.83
18,2022-01-07,4,2022-12-07,-4271.08
19,2022-12-07,4,2022-07-22,3180.35
20,2022-07-22,4,2022-04-08,1444.67
21,2022-04-08,4,2022-08-16,624.6
22,2022-08-16,4,2022-08-25,-239.87
23,2022-08-25,4,2022-05-09,-1303.89
24,2022-05-09,4,2022-09-14,1006.07
25,2022-09-14,4,2022-09-23,-1045.75
26,2022-09-23,4,2022-04-10,-89.6
27,2022-04-10,4,2022-10-17,-2615.31
28,2022-10-17,4,2022-10-27,1234.32
29,2022-10-27,4,2022-07-11,-97.16
30,2022-07-11,4,2022-11-16,-639.69
31,2022-11-16,4,2022-11-25,593.38
32,2022-11-25,4,2022-07-12,567.19
33,2022-07-12,4,2022-12-19,476.11
34,2022-12-19,4,2022-12-28,170.01
