param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BlockRNNModel_input_chunk_length1_modelLSTM_n_epochs15_output_chunk_length1.csv,8.46,12.07,54.29,37.14,31.43,25.71,25.71
BlockRNNModel_input_chunk_length3_modelLSTM_n_epochs15_output_chunk_length1.csv,8.63,11.83,54.29,37.14,31.43,25.71,25.71
BlockRNNModel_input_chunk_length5_modelLSTM_n_epochs15_output_chunk_length1.csv,9.8,13.03,65.71,40.0,28.57,40.0,40.0
LinearRegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
LinearRegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,9.27,13.14,40.0,17.14,17.14,25.71,22.86
LinearRegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
LinearRegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,8.96,12.92,40.0,14.29,14.29,28.57,25.71
LinearRegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
LinearRegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,8.9,12.89,42.86,17.14,17.14,28.57,25.71
RandomForest_lags10_lags_past_covariates10_output_chunk_length1.csv,5.6,9.74,60.0,20.0,20.0,42.86,42.86
RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,5.83,9.5,57.14,14.29,14.29,45.71,45.71
RandomForest_lags2_lags_past_covariates10_output_chunk_length1.csv,5.67,9.74,62.86,20.0,20.0,45.71,45.71
RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,5.61,9.59,57.14,17.14,17.14,42.86,42.86
RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,5.78,9.89,68.57,17.14,17.14,54.29,54.29
RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,5.9,9.83,62.86,22.86,22.86,42.86,42.86
RegressionModel_lags10_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
RegressionModel_lags10_lags_past_covariates6_output_chunk_length1.csv,9.27,13.14,40.0,17.14,17.14,25.71,22.86
RegressionModel_lags2_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
RegressionModel_lags2_lags_past_covariates6_output_chunk_length1.csv,8.96,12.92,40.0,14.29,14.29,28.57,25.71
RegressionModel_lags6_lags_past_covariates10_output_chunk_length1.csv,12.18,16.38,37.14,20.0,14.29,25.71,22.86
RegressionModel_lags6_lags_past_covariates6_output_chunk_length1.csv,8.9,12.89,42.86,17.14,17.14,28.57,25.71
TransformerModel_input_chunk_length1_n_epochs15_output_chunk_length1.csv,9.42,12.36,54.29,34.29,31.43,25.71,25.71
TransformerModel_input_chunk_length3_n_epochs15_output_chunk_length1.csv,12.9,17.23,60.0,42.86,34.29,31.43,28.57
TransformerModel_input_chunk_length5_n_epochs15_output_chunk_length1.csv,10.67,14.48,51.43,37.14,34.29,22.86,22.86
XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,6.64,10.31,54.29,22.86,22.86,34.29,34.29
XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,6.11,9.34,48.57,20.0,20.0,31.43,31.43
XGBModel_lags10_lags_past_covariates6_output_chunk_length1.csv,6.39,10.22,60.0,28.57,28.57,34.29,34.29
XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,6.64,10.33,51.43,20.0,20.0,34.29,34.29
XGBModel_lags2_lags_past_covariates2_output_chunk_length1.csv,5.79,9.27,48.57,25.71,22.86,28.57,28.57
XGBModel_lags2_lags_past_covariates6_output_chunk_length1.csv,6.3,10.23,57.14,17.14,17.14,42.86,42.86
XGBModel_lags6_lags_past_covariates10_output_chunk_length1.csv,6.67,10.33,54.29,22.86,22.86,34.29,34.29
XGBModel_lags6_lags_past_covariates2_output_chunk_length1.csv,6.52,9.86,48.57,20.0,17.14,34.29,34.29
XGBModel_lags6_lags_past_covariates6_output_chunk_length1.csv,6.33,10.23,54.29,17.14,17.14,40.0,40.0
