Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,362.91
1,2022-01-04,9,2022-01-13,404.54
2,2022-01-13,9,2022-01-24,381.52
3,2022-01-24,9,2022-02-02,370.51
4,2022-02-02,9,2022-02-11,383.43
5,2022-02-11,9,2022-02-23,390.09
6,2022-02-23,9,2022-03-04,394.35
7,2022-03-04,9,2022-03-15,379.36
8,2022-03-15,9,2022-03-24,374.51
9,2022-03-24,9,2022-04-04,383.65
10,2022-04-04,9,2022-04-19,384.95
11,2022-04-19,9,2022-04-28,354.51
12,2022-04-28,9,2022-05-11,362.5
13,2022-05-11,9,2022-05-23,362.95
14,2022-05-23,9,2022-06-01,376.17
15,2022-06-01,9,2022-06-13,368.24
16,2022-06-13,9,2022-06-22,356.44
17,2022-06-22,9,2022-07-01,364.98
18,2022-07-01,9,2022-07-12,382.76
19,2022-07-12,9,2022-07-22,375.89
20,2022-07-22,9,2022-08-04,375.51
21,2022-08-04,9,2022-08-16,363.6
22,2022-08-16,9,2022-08-25,365.66
23,2022-08-25,9,2022-09-05,356.01
24,2022-09-05,9,2022-09-14,355.52
25,2022-09-14,9,2022-09-23,340.76
26,2022-09-23,9,2022-10-04,329.85
27,2022-10-04,9,2022-10-17,323.01
28,2022-10-17,9,2022-10-27,315.68
29,2022-10-27,9,2022-11-07,324.36
30,2022-11-07,9,2022-11-16,353.13
31,2022-11-16,9,2022-11-25,342.07
32,2022-11-25,9,2022-12-07,328.74
33,2022-12-07,9,2022-12-19,333.62
34,2022-12-19,9,2022-12-28,334.1
