Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,383.3
1,2022-01-04,9,2022-01-13,397.25
2,2022-01-13,9,2022-01-24,380.79
3,2022-01-24,9,2022-02-02,359.31
4,2022-02-02,9,2022-02-11,367.7
5,2022-02-11,9,2022-02-23,360.43
6,2022-02-23,9,2022-03-04,415.09
7,2022-03-04,9,2022-03-15,402.0
8,2022-03-15,9,2022-03-24,382.29
9,2022-03-24,9,2022-04-04,406.09
10,2022-04-04,9,2022-04-19,387.95
11,2022-04-19,9,2022-04-28,348.02
12,2022-04-28,9,2022-05-11,351.81
13,2022-05-11,9,2022-05-23,379.42
14,2022-05-23,9,2022-06-01,387.88
15,2022-06-01,9,2022-06-13,378.37
16,2022-06-13,9,2022-06-22,380.01
17,2022-06-22,9,2022-07-01,381.38
18,2022-07-01,9,2022-07-12,395.84
19,2022-07-12,9,2022-07-22,365.53
20,2022-07-22,9,2022-08-04,389.27
21,2022-08-04,9,2022-08-16,360.12
22,2022-08-16,9,2022-08-25,369.79
23,2022-08-25,9,2022-09-05,340.31
24,2022-09-05,9,2022-09-14,352.77
25,2022-09-14,9,2022-09-23,343.82
26,2022-09-23,9,2022-10-04,326.66
27,2022-10-04,9,2022-10-17,303.84
28,2022-10-17,9,2022-10-27,280.4
29,2022-10-27,9,2022-11-07,319.51
30,2022-11-07,9,2022-11-16,329.47
31,2022-11-16,9,2022-11-25,331.94
32,2022-11-25,9,2022-12-07,315.18
33,2022-12-07,9,2022-12-19,347.79
34,2022-12-19,9,2022-12-28,332.36
