Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,383.0
1,2022-01-04,9,2022-01-13,397.34
2,2022-01-13,9,2022-01-24,381.14
3,2022-01-24,9,2022-02-02,379.23
4,2022-02-02,9,2022-02-11,387.23
5,2022-02-11,9,2022-02-23,386.43
6,2022-02-23,9,2022-03-04,382.31
7,2022-03-04,9,2022-03-15,383.2
8,2022-03-15,9,2022-03-24,383.76
9,2022-03-24,9,2022-04-04,379.77
10,2022-04-04,9,2022-04-19,390.53
11,2022-04-19,9,2022-04-28,361.37
12,2022-04-28,9,2022-05-11,362.49
13,2022-05-11,9,2022-05-23,360.14
14,2022-05-23,9,2022-06-01,362.01
15,2022-06-01,9,2022-06-13,375.84
16,2022-06-13,9,2022-06-22,355.63
17,2022-06-22,9,2022-07-01,371.02
18,2022-07-01,9,2022-07-12,381.3
19,2022-07-12,9,2022-07-22,383.74
20,2022-07-22,9,2022-08-04,375.34
21,2022-08-04,9,2022-08-16,374.07
22,2022-08-16,9,2022-08-25,368.41
23,2022-08-25,9,2022-09-05,368.93
24,2022-09-05,9,2022-09-14,339.42
25,2022-09-14,9,2022-09-23,344.31
26,2022-09-23,9,2022-10-04,328.39
27,2022-10-04,9,2022-10-17,324.14
28,2022-10-17,9,2022-10-27,321.53
29,2022-10-27,9,2022-11-07,331.62
30,2022-11-07,9,2022-11-16,336.14
31,2022-11-16,9,2022-11-25,338.05
32,2022-11-25,9,2022-12-07,336.31
33,2022-12-07,9,2022-12-19,341.71
34,2022-12-19,9,2022-12-28,335.79
