Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,415.51
1,2022-01-04,9,2022-01-13,415.21
2,2022-01-13,9,2022-01-24,384.42
3,2022-01-24,9,2022-02-02,352.54
4,2022-02-02,9,2022-02-11,347.33
5,2022-02-11,9,2022-02-23,338.86
6,2022-02-23,9,2022-03-04,398.54
7,2022-03-04,9,2022-03-15,396.83
8,2022-03-15,9,2022-03-24,372.47
9,2022-03-24,9,2022-04-04,366.44
10,2022-04-04,9,2022-04-19,368.62
11,2022-04-19,9,2022-04-28,383.04
12,2022-04-28,9,2022-05-11,318.32
13,2022-05-11,9,2022-05-23,376.61
14,2022-05-23,9,2022-06-01,357.43
15,2022-06-01,9,2022-06-13,376.17
16,2022-06-13,9,2022-06-22,344.73
17,2022-06-22,9,2022-07-01,384.01
18,2022-07-01,9,2022-07-12,410.63
19,2022-07-12,9,2022-07-22,387.92
20,2022-07-22,9,2022-08-04,385.19
21,2022-08-04,9,2022-08-16,367.12
22,2022-08-16,9,2022-08-25,362.86
23,2022-08-25,9,2022-09-05,365.74
24,2022-09-05,9,2022-09-14,357.2
25,2022-09-14,9,2022-09-23,356.66
26,2022-09-23,9,2022-10-04,348.24
27,2022-10-04,9,2022-10-17,336.25
28,2022-10-17,9,2022-10-27,306.0
29,2022-10-27,9,2022-11-07,324.48
30,2022-11-07,9,2022-11-16,343.81
31,2022-11-16,9,2022-11-25,333.46
32,2022-11-25,9,2022-12-07,339.2
33,2022-12-07,9,2022-12-19,334.26
34,2022-12-19,9,2022-12-28,327.12
