Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,378.06
1,2022-01-04,9,2022-01-13,381.51
2,2022-01-13,9,2022-01-24,383.06
3,2022-01-24,9,2022-02-02,382.74
4,2022-02-02,9,2022-02-11,382.19
5,2022-02-11,9,2022-02-23,381.08
6,2022-02-23,9,2022-03-04,384.05
7,2022-03-04,9,2022-03-15,381.94
8,2022-03-15,9,2022-03-24,379.74
9,2022-03-24,9,2022-04-04,382.21
10,2022-04-04,9,2022-04-19,380.97
11,2022-04-19,9,2022-04-28,369.62
12,2022-04-28,9,2022-05-11,365.76
13,2022-05-11,9,2022-05-23,365.29
14,2022-05-23,9,2022-06-01,366.74
15,2022-06-01,9,2022-06-13,373.6
16,2022-06-13,9,2022-06-22,371.3
17,2022-06-22,9,2022-07-01,370.28
18,2022-07-01,9,2022-07-12,375.36
19,2022-07-12,9,2022-07-22,379.39
20,2022-07-22,9,2022-08-04,375.37
21,2022-08-04,9,2022-08-16,370.77
22,2022-08-16,9,2022-08-25,367.31
23,2022-08-25,9,2022-09-05,366.59
24,2022-09-05,9,2022-09-14,359.32
25,2022-09-14,9,2022-09-23,339.96
26,2022-09-23,9,2022-10-04,334.24
27,2022-10-04,9,2022-10-17,332.78
28,2022-10-17,9,2022-10-27,331.96
29,2022-10-27,9,2022-11-07,329.87
30,2022-11-07,9,2022-11-16,336.95
31,2022-11-16,9,2022-11-25,337.16
32,2022-11-25,9,2022-12-07,336.88
33,2022-12-07,9,2022-12-19,332.69
34,2022-12-19,9,2022-12-28,331.18
