Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,380.21
1,2022-01-04,9,2022-01-13,376.69
2,2022-01-13,9,2022-01-24,385.74
3,2022-01-24,9,2022-02-02,382.82
4,2022-02-02,9,2022-02-11,383.81
5,2022-02-11,9,2022-02-23,383.52
6,2022-02-23,9,2022-03-04,385.83
7,2022-03-04,9,2022-03-15,385.02
8,2022-03-15,9,2022-03-24,378.46
9,2022-03-24,9,2022-04-04,378.91
10,2022-04-04,9,2022-04-19,383.86
11,2022-04-19,9,2022-04-28,351.59
12,2022-04-28,9,2022-05-11,361.3
13,2022-05-11,9,2022-05-23,359.53
14,2022-05-23,9,2022-06-01,366.06
15,2022-06-01,9,2022-06-13,371.08
16,2022-06-13,9,2022-06-22,379.33
17,2022-06-22,9,2022-07-01,368.6
18,2022-07-01,9,2022-07-12,382.96
19,2022-07-12,9,2022-07-22,385.94
20,2022-07-22,9,2022-08-04,387.42
21,2022-08-04,9,2022-08-16,371.47
22,2022-08-16,9,2022-08-25,376.77
23,2022-08-25,9,2022-09-05,372.67
24,2022-09-05,9,2022-09-14,347.15
25,2022-09-14,9,2022-09-23,345.8
26,2022-09-23,9,2022-10-04,333.68
27,2022-10-04,9,2022-10-17,336.43
28,2022-10-17,9,2022-10-27,332.97
29,2022-10-27,9,2022-11-07,330.65
30,2022-11-07,9,2022-11-16,330.45
31,2022-11-16,9,2022-11-25,347.16
32,2022-11-25,9,2022-12-07,346.06
33,2022-12-07,9,2022-12-19,333.34
34,2022-12-19,9,2022-12-28,335.39
