Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,379.43
1,2022-01-04,9,2022-01-13,381.71
2,2022-01-13,9,2022-01-24,384.58
3,2022-01-24,9,2022-02-02,381.79
4,2022-02-02,9,2022-02-11,386.19
5,2022-02-11,9,2022-02-23,393.53
6,2022-02-23,9,2022-03-04,379.83
7,2022-03-04,9,2022-03-15,381.2
8,2022-03-15,9,2022-03-24,374.82
9,2022-03-24,9,2022-04-04,376.14
10,2022-04-04,9,2022-04-19,387.38
11,2022-04-19,9,2022-04-28,361.98
12,2022-04-28,9,2022-05-11,362.86
13,2022-05-11,9,2022-05-23,360.39
14,2022-05-23,9,2022-06-01,364.78
15,2022-06-01,9,2022-06-13,371.95
16,2022-06-13,9,2022-06-22,372.47
17,2022-06-22,9,2022-07-01,369.85
18,2022-07-01,9,2022-07-12,380.54
19,2022-07-12,9,2022-07-22,385.99
20,2022-07-22,9,2022-08-04,375.89
21,2022-08-04,9,2022-08-16,380.71
22,2022-08-16,9,2022-08-25,363.81
23,2022-08-25,9,2022-09-05,369.15
24,2022-09-05,9,2022-09-14,336.31
25,2022-09-14,9,2022-09-23,344.96
26,2022-09-23,9,2022-10-04,334.19
27,2022-10-04,9,2022-10-17,323.14
28,2022-10-17,9,2022-10-27,318.78
29,2022-10-27,9,2022-11-07,329.39
30,2022-11-07,9,2022-11-16,332.4
31,2022-11-16,9,2022-11-25,331.86
32,2022-11-25,9,2022-12-07,338.82
33,2022-12-07,9,2022-12-19,340.53
34,2022-12-19,9,2022-12-28,331.84
