Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,384.41
1,2022-01-04,9,2022-01-13,387.63
2,2022-01-13,9,2022-01-24,386.93
3,2022-01-24,9,2022-02-02,384.7
4,2022-02-02,9,2022-02-11,385.87
5,2022-02-11,9,2022-02-23,383.22
6,2022-02-23,9,2022-03-04,385.47
7,2022-03-04,9,2022-03-15,384.24
8,2022-03-15,9,2022-03-24,380.48
9,2022-03-24,9,2022-04-04,379.61
10,2022-04-04,9,2022-04-19,379.56
11,2022-04-19,9,2022-04-28,365.57
12,2022-04-28,9,2022-05-11,365.88
13,2022-05-11,9,2022-05-23,360.29
14,2022-05-23,9,2022-06-01,364.87
15,2022-06-01,9,2022-06-13,377.59
16,2022-06-13,9,2022-06-22,370.74
17,2022-06-22,9,2022-07-01,368.25
18,2022-07-01,9,2022-07-12,375.13
19,2022-07-12,9,2022-07-22,377.18
20,2022-07-22,9,2022-08-04,378.3
21,2022-08-04,9,2022-08-16,369.14
22,2022-08-16,9,2022-08-25,373.09
23,2022-08-25,9,2022-09-05,370.83
24,2022-09-05,9,2022-09-14,359.49
25,2022-09-14,9,2022-09-23,344.57
26,2022-09-23,9,2022-10-04,333.23
27,2022-10-04,9,2022-10-17,331.05
28,2022-10-17,9,2022-10-27,324.99
29,2022-10-27,9,2022-11-07,327.0
30,2022-11-07,9,2022-11-16,330.63
31,2022-11-16,9,2022-11-25,333.76
32,2022-11-25,9,2022-12-07,335.03
33,2022-12-07,9,2022-12-19,334.04
34,2022-12-19,9,2022-12-28,331.04
