Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,379.55
1,2022-01-04,9,2022-01-13,388.26
2,2022-01-13,9,2022-01-24,400.52
3,2022-01-24,9,2022-02-02,391.93
4,2022-02-02,9,2022-02-11,380.8
5,2022-02-11,9,2022-02-23,380.7
6,2022-02-23,9,2022-03-04,385.98
7,2022-03-04,9,2022-03-15,392.54
8,2022-03-15,9,2022-03-24,378.94
9,2022-03-24,9,2022-04-04,386.21
10,2022-04-04,9,2022-04-19,383.82
11,2022-04-19,9,2022-04-28,360.33
12,2022-04-28,9,2022-05-11,375.34
13,2022-05-11,9,2022-05-23,356.52
14,2022-05-23,9,2022-06-01,362.62
15,2022-06-01,9,2022-06-13,377.38
16,2022-06-13,9,2022-06-22,372.0
17,2022-06-22,9,2022-07-01,369.76
18,2022-07-01,9,2022-07-12,365.96
19,2022-07-12,9,2022-07-22,369.42
20,2022-07-22,9,2022-08-04,375.04
21,2022-08-04,9,2022-08-16,378.76
22,2022-08-16,9,2022-08-25,362.16
23,2022-08-25,9,2022-09-05,365.02
24,2022-09-05,9,2022-09-14,345.42
25,2022-09-14,9,2022-09-23,348.74
26,2022-09-23,9,2022-10-04,338.22
27,2022-10-04,9,2022-10-17,327.74
28,2022-10-17,9,2022-10-27,317.39
29,2022-10-27,9,2022-11-07,331.49
30,2022-11-07,9,2022-11-16,348.51
31,2022-11-16,9,2022-11-25,332.24
32,2022-11-25,9,2022-12-07,330.06
33,2022-12-07,9,2022-12-19,343.23
34,2022-12-19,9,2022-12-28,333.73
