Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,378.06
1,2022-01-04,9,2022-01-13,398.21
2,2022-01-13,9,2022-01-24,379.57
3,2022-01-24,9,2022-02-02,349.03
4,2022-02-02,9,2022-02-11,379.91
5,2022-02-11,9,2022-02-23,390.16
6,2022-02-23,9,2022-03-04,397.64
7,2022-03-04,9,2022-03-15,385.9
8,2022-03-15,9,2022-03-24,374.04
9,2022-03-24,9,2022-04-04,372.62
10,2022-04-04,9,2022-04-19,381.66
11,2022-04-19,9,2022-04-28,347.03
12,2022-04-28,9,2022-05-11,355.25
13,2022-05-11,9,2022-05-23,380.12
14,2022-05-23,9,2022-06-01,376.4
15,2022-06-01,9,2022-06-13,384.05
16,2022-06-13,9,2022-06-22,364.78
17,2022-06-22,9,2022-07-01,363.22
18,2022-07-01,9,2022-07-12,380.7
19,2022-07-12,9,2022-07-22,374.19
20,2022-07-22,9,2022-08-04,371.88
21,2022-08-04,9,2022-08-16,360.17
22,2022-08-16,9,2022-08-25,362.27
23,2022-08-25,9,2022-09-05,352.97
24,2022-09-05,9,2022-09-14,348.09
25,2022-09-14,9,2022-09-23,337.96
26,2022-09-23,9,2022-10-04,323.95
27,2022-10-04,9,2022-10-17,316.93
28,2022-10-17,9,2022-10-27,308.04
29,2022-10-27,9,2022-11-07,320.67
30,2022-11-07,9,2022-11-16,342.08
31,2022-11-16,9,2022-11-25,340.39
32,2022-11-25,9,2022-12-07,335.64
33,2022-12-07,9,2022-12-19,339.76
34,2022-12-19,9,2022-12-28,328.21
