Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,369.76
1,2022-01-04,9,2022-01-13,396.53
2,2022-01-13,9,2022-01-24,382.73
3,2022-01-24,9,2022-02-02,346.64
4,2022-02-02,9,2022-02-11,377.52
5,2022-02-11,9,2022-02-23,393.43
6,2022-02-23,9,2022-03-04,401.28
7,2022-03-04,9,2022-03-15,384.6
8,2022-03-15,9,2022-03-24,376.43
9,2022-03-24,9,2022-04-04,367.11
10,2022-04-04,9,2022-04-19,377.34
11,2022-04-19,9,2022-04-28,348.32
12,2022-04-28,9,2022-05-11,356.9
13,2022-05-11,9,2022-05-23,379.59
14,2022-05-23,9,2022-06-01,370.64
15,2022-06-01,9,2022-06-13,384.56
16,2022-06-13,9,2022-06-22,365.23
17,2022-06-22,9,2022-07-01,360.53
18,2022-07-01,9,2022-07-12,383.67
19,2022-07-12,9,2022-07-22,371.45
20,2022-07-22,9,2022-08-04,368.78
21,2022-08-04,9,2022-08-16,357.02
22,2022-08-16,9,2022-08-25,363.77
23,2022-08-25,9,2022-09-05,361.18
24,2022-09-05,9,2022-09-14,353.62
25,2022-09-14,9,2022-09-23,337.65
26,2022-09-23,9,2022-10-04,323.98
27,2022-10-04,9,2022-10-17,314.74
28,2022-10-17,9,2022-10-27,310.29
29,2022-10-27,9,2022-11-07,323.48
30,2022-11-07,9,2022-11-16,349.84
31,2022-11-16,9,2022-11-25,340.14
32,2022-11-25,9,2022-12-07,344.76
33,2022-12-07,9,2022-12-19,334.35
34,2022-12-19,9,2022-12-28,326.31
