Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,377.8
1,2022-01-04,9,2022-01-13,378.94
2,2022-01-13,9,2022-01-24,378.86
3,2022-01-24,9,2022-02-02,380.3
4,2022-02-02,9,2022-02-11,383.61
5,2022-02-11,9,2022-02-23,380.09
6,2022-02-23,9,2022-03-04,383.15
7,2022-03-04,9,2022-03-15,382.79
8,2022-03-15,9,2022-03-24,378.36
9,2022-03-24,9,2022-04-04,379.51
10,2022-04-04,9,2022-04-19,383.0
11,2022-04-19,9,2022-04-28,366.1
12,2022-04-28,9,2022-05-11,365.07
13,2022-05-11,9,2022-05-23,363.26
14,2022-05-23,9,2022-06-01,364.93
15,2022-06-01,9,2022-06-13,376.2
16,2022-06-13,9,2022-06-22,367.45
17,2022-06-22,9,2022-07-01,363.99
18,2022-07-01,9,2022-07-12,375.39
19,2022-07-12,9,2022-07-22,379.41
20,2022-07-22,9,2022-08-04,377.55
21,2022-08-04,9,2022-08-16,369.55
22,2022-08-16,9,2022-08-25,368.61
23,2022-08-25,9,2022-09-05,368.09
24,2022-09-05,9,2022-09-14,357.85
25,2022-09-14,9,2022-09-23,346.02
26,2022-09-23,9,2022-10-04,337.67
27,2022-10-04,9,2022-10-17,332.35
28,2022-10-17,9,2022-10-27,329.69
29,2022-10-27,9,2022-11-07,331.36
30,2022-11-07,9,2022-11-16,336.87
31,2022-11-16,9,2022-11-25,340.23
32,2022-11-25,9,2022-12-07,338.24
33,2022-12-07,9,2022-12-19,336.28
34,2022-12-19,9,2022-12-28,332.78
