Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,395.43
1,2022-01-04,9,2022-01-13,381.45
2,2022-01-13,9,2022-01-24,391.61
3,2022-01-24,9,2022-02-02,379.28
4,2022-02-02,9,2022-02-11,381.25
5,2022-02-11,9,2022-02-23,378.53
6,2022-02-23,9,2022-03-04,379.65
7,2022-03-04,9,2022-03-15,381.11
8,2022-03-15,9,2022-03-24,382.94
9,2022-03-24,9,2022-04-04,384.11
10,2022-04-04,9,2022-04-19,385.05
11,2022-04-19,9,2022-04-28,358.83
12,2022-04-28,9,2022-05-11,356.2
13,2022-05-11,9,2022-05-23,354.81
14,2022-05-23,9,2022-06-01,353.76
15,2022-06-01,9,2022-06-13,375.52
16,2022-06-13,9,2022-06-22,356.81
17,2022-06-22,9,2022-07-01,362.88
18,2022-07-01,9,2022-07-12,371.69
19,2022-07-12,9,2022-07-22,384.49
20,2022-07-22,9,2022-08-04,376.43
21,2022-08-04,9,2022-08-16,366.5
22,2022-08-16,9,2022-08-25,369.31
23,2022-08-25,9,2022-09-05,365.52
24,2022-09-05,9,2022-09-14,339.67
25,2022-09-14,9,2022-09-23,341.18
26,2022-09-23,9,2022-10-04,326.95
27,2022-10-04,9,2022-10-17,330.35
28,2022-10-17,9,2022-10-27,316.14
29,2022-10-27,9,2022-11-07,325.97
30,2022-11-07,9,2022-11-16,338.84
31,2022-11-16,9,2022-11-25,338.65
32,2022-11-25,9,2022-12-07,345.47
33,2022-12-07,9,2022-12-19,354.64
