Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,5,2022-01-04,92.92
1,2022-01-04,5,2022-01-13,96.24
2,2022-01-13,5,2022-01-24,99.2
3,2022-01-24,5,2022-02-02,97.67
4,2022-02-02,5,2022-02-11,99.4
5,2022-02-11,5,2022-02-23,99.82
6,2022-02-23,5,2022-03-04,97.95
7,2022-03-04,5,2022-03-15,98.19
8,2022-03-15,5,2022-03-24,97.61
9,2022-03-24,5,2022-04-04,96.53
10,2022-04-04,5,2022-04-19,99.37
11,2022-04-19,5,2022-04-28,99.73
12,2022-04-28,5,2022-05-11,100.09
13,2022-05-11,5,2022-05-23,90.28
14,2022-05-23,5,2022-06-01,89.98
15,2022-06-01,5,2022-06-13,90.83
16,2022-06-13,5,2022-06-22,89.64
17,2022-06-22,5,2022-07-01,89.52
18,2022-07-01,5,2022-07-12,89.6
19,2022-07-12,5,2022-07-22,89.75
20,2022-07-22,5,2022-08-04,88.99
21,2022-08-04,5,2022-08-16,89.41
22,2022-08-16,5,2022-08-25,90.75
23,2022-08-25,5,2022-09-05,92.4
24,2022-09-05,5,2022-09-14,92.25
25,2022-09-14,5,2022-09-23,93.48
26,2022-09-23,5,2022-10-04,96.23
27,2022-10-04,5,2022-10-17,92.5
28,2022-10-17,5,2022-10-27,93.75
29,2022-10-27,5,2022-11-07,96.53
30,2022-11-07,5,2022-11-16,97.49
31,2022-11-16,5,2022-11-25,96.99
32,2022-11-25,5,2022-12-07,96.81
33,2022-12-07,5,2022-12-19,97.88
34,2022-12-19,5,2022-12-28,97.94
