Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,5,2022-01-04,91.35
1,2022-01-04,5,2022-01-13,98.43
2,2022-01-13,5,2022-01-24,99.05
3,2022-01-24,5,2022-02-02,97.71
4,2022-02-02,5,2022-02-11,99.18
5,2022-02-11,5,2022-02-23,99.43
6,2022-02-23,5,2022-03-04,97.73
7,2022-03-04,5,2022-03-15,98.69
8,2022-03-15,5,2022-03-24,94.9
9,2022-03-24,5,2022-04-04,99.17
10,2022-04-04,5,2022-04-19,99.98
11,2022-04-19,5,2022-04-28,99.39
12,2022-04-28,5,2022-05-11,99.42
13,2022-05-11,5,2022-05-23,90.39
14,2022-05-23,5,2022-06-01,90.76
15,2022-06-01,5,2022-06-13,91.01
16,2022-06-13,5,2022-06-22,90.03
17,2022-06-22,5,2022-07-01,89.6
18,2022-07-01,5,2022-07-12,89.3
19,2022-07-12,5,2022-07-22,88.02
20,2022-07-22,5,2022-08-04,89.27
21,2022-08-04,5,2022-08-16,89.19
22,2022-08-16,5,2022-08-25,89.93
23,2022-08-25,5,2022-09-05,92.2
24,2022-09-05,5,2022-09-14,92.4
25,2022-09-14,5,2022-09-23,94.5
26,2022-09-23,5,2022-10-04,96.32
27,2022-10-04,5,2022-10-17,91.92
28,2022-10-17,5,2022-10-27,94.74
29,2022-10-27,5,2022-11-07,95.6
30,2022-11-07,5,2022-11-16,97.24
31,2022-11-16,5,2022-11-25,95.92
32,2022-11-25,5,2022-12-07,96.77
33,2022-12-07,5,2022-12-19,97.31
34,2022-12-19,5,2022-12-28,98.65
