Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,5,2022-01-04,93.02
1,2022-01-04,5,2022-01-13,91.32
2,2022-01-13,5,2022-01-24,100.61
3,2022-01-24,5,2022-02-02,97.35
4,2022-02-02,5,2022-02-11,100.52
5,2022-02-11,5,2022-02-23,100.51
6,2022-02-23,5,2022-03-04,99.37
7,2022-03-04,5,2022-03-15,100.23
8,2022-03-15,5,2022-03-24,98.09
9,2022-03-24,5,2022-04-04,99.35
10,2022-04-04,5,2022-04-19,99.16
11,2022-04-19,5,2022-04-28,99.47
12,2022-04-28,5,2022-05-11,100.24
13,2022-05-11,5,2022-05-23,90.57
14,2022-05-23,5,2022-06-01,89.7
15,2022-06-01,5,2022-06-13,90.83
16,2022-06-13,5,2022-06-22,89.56
17,2022-06-22,5,2022-07-01,89.61
18,2022-07-01,5,2022-07-12,89.95
19,2022-07-12,5,2022-07-22,85.85
20,2022-07-22,5,2022-08-04,86.66
21,2022-08-04,5,2022-08-16,89.83
22,2022-08-16,5,2022-08-25,90.73
23,2022-08-25,5,2022-09-05,91.6
24,2022-09-05,5,2022-09-14,92.86
25,2022-09-14,5,2022-09-23,96.45
26,2022-09-23,5,2022-10-04,97.08
27,2022-10-04,5,2022-10-17,92.37
28,2022-10-17,5,2022-10-27,94.76
29,2022-10-27,5,2022-11-07,97.81
30,2022-11-07,5,2022-11-16,96.77
31,2022-11-16,5,2022-11-25,92.56
32,2022-11-25,5,2022-12-07,97.53
33,2022-12-07,5,2022-12-19,100.5
34,2022-12-19,5,2022-12-28,99.97
