Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,19.67
1,2022-01-04,3,2022-01-13,19.7
2,2022-01-13,3,2022-01-24,19.91
3,2022-01-24,3,2022-02-02,19.33
4,2022-02-02,3,2022-02-11,19.29
5,2022-02-11,3,2022-02-23,19.67
6,2022-02-23,3,2022-03-04,20.25
7,2022-03-04,3,2022-03-15,20.24
8,2022-03-15,3,2022-03-24,19.75
9,2022-03-24,3,2022-04-04,18.93
10,2022-04-04,3,2022-04-19,18.61
11,2022-04-19,3,2022-04-28,16.78
12,2022-04-28,3,2022-05-11,16.96
13,2022-05-11,3,2022-05-23,16.75
14,2022-05-23,3,2022-06-01,16.56
15,2022-06-01,3,2022-06-13,17.52
16,2022-06-13,3,2022-06-22,17.05
17,2022-06-22,3,2022-07-01,17.57
18,2022-07-01,3,2022-07-12,17.02
19,2022-07-12,3,2022-07-22,16.14
20,2022-07-22,3,2022-08-04,15.86
21,2022-08-04,3,2022-08-16,16.52
22,2022-08-16,3,2022-08-25,17.12
23,2022-08-25,3,2022-09-05,17.23
24,2022-09-05,3,2022-09-14,17.15
25,2022-09-14,3,2022-09-23,17.0
26,2022-09-23,3,2022-10-04,17.31
27,2022-10-04,3,2022-10-17,17.74
28,2022-10-17,3,2022-10-27,18.09
29,2022-10-27,3,2022-11-07,18.24
30,2022-11-07,3,2022-11-16,17.81
31,2022-11-16,3,2022-11-25,16.98
32,2022-11-25,3,2022-12-07,17.27
33,2022-12-07,3,2022-12-19,16.95
34,2022-12-19,3,2022-12-28,17.17
