Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,16.82
1,2022-01-04,3,2022-01-13,16.76
2,2022-01-13,3,2022-01-24,19.12
3,2022-01-24,3,2022-02-02,15.76
4,2022-02-02,3,2022-02-11,16.65
5,2022-02-11,3,2022-02-23,16.65
6,2022-02-23,3,2022-03-04,17.75
7,2022-03-04,3,2022-03-15,16.65
8,2022-03-15,3,2022-03-24,15.14
9,2022-03-24,3,2022-04-04,17.78
10,2022-04-04,3,2022-04-19,15.46
11,2022-04-19,3,2022-04-28,15.22
12,2022-04-28,3,2022-05-11,15.8
13,2022-05-11,3,2022-05-23,20.01
14,2022-05-23,3,2022-06-01,14.93
15,2022-06-01,3,2022-06-13,14.58
16,2022-06-13,3,2022-06-22,17.24
17,2022-06-22,3,2022-07-01,15.07
18,2022-07-01,3,2022-07-12,15.4
19,2022-07-12,3,2022-07-22,16.85
20,2022-07-22,3,2022-08-04,13.79
21,2022-08-04,3,2022-08-16,13.35
22,2022-08-16,3,2022-08-25,16.07
23,2022-08-25,3,2022-09-05,14.84
24,2022-09-05,3,2022-09-14,16.94
25,2022-09-14,3,2022-09-23,19.03
26,2022-09-23,3,2022-10-04,18.61
27,2022-10-04,3,2022-10-17,19.55
28,2022-10-17,3,2022-10-27,17.37
29,2022-10-27,3,2022-11-07,18.01
30,2022-11-07,3,2022-11-16,14.43
31,2022-11-16,3,2022-11-25,17.07
32,2022-11-25,3,2022-12-07,17.01
33,2022-12-07,3,2022-12-19,17.99
34,2022-12-19,3,2022-12-28,18.13
