Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,20.52
1,2022-01-04,3,2022-01-13,20.52
2,2022-01-13,3,2022-01-24,20.42
3,2022-01-24,3,2022-02-02,20.29
4,2022-02-02,3,2022-02-11,20.22
5,2022-02-11,3,2022-02-23,20.23
6,2022-02-23,3,2022-03-04,20.23
7,2022-03-04,3,2022-03-15,20.15
8,2022-03-15,3,2022-03-24,20.03
9,2022-03-24,3,2022-04-04,19.93
10,2022-04-04,3,2022-04-19,19.82
11,2022-04-19,3,2022-04-28,19.54
12,2022-04-28,3,2022-05-11,19.32
13,2022-05-11,3,2022-05-23,19.08
14,2022-05-23,3,2022-06-01,18.77
15,2022-06-01,3,2022-06-13,18.53
16,2022-06-13,3,2022-06-22,18.23
17,2022-06-22,3,2022-07-01,17.93
18,2022-07-01,3,2022-07-12,17.58
19,2022-07-12,3,2022-07-22,17.27
20,2022-07-22,3,2022-08-04,17.04
21,2022-08-04,3,2022-08-16,16.84
22,2022-08-16,3,2022-08-25,16.74
23,2022-08-25,3,2022-09-05,16.8
24,2022-09-05,3,2022-09-14,16.82
25,2022-09-14,3,2022-09-23,16.84
26,2022-09-23,3,2022-10-04,16.91
27,2022-10-04,3,2022-10-17,16.99
28,2022-10-17,3,2022-10-27,17.13
29,2022-10-27,3,2022-11-07,17.24
30,2022-11-07,3,2022-11-16,17.33
31,2022-11-16,3,2022-11-25,17.41
32,2022-11-25,3,2022-12-07,17.5
33,2022-12-07,3,2022-12-19,17.53
34,2022-12-19,3,2022-12-28,17.52
