Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,219.52
1,2022-01-04,18,2022-01-13,223.94
2,2022-01-13,18,2022-01-24,224.6
3,2022-01-24,18,2022-02-02,224.78
4,2022-02-02,18,2022-02-11,225.38
5,2022-02-11,18,2022-02-23,225.24
6,2022-02-23,18,2022-03-04,228.19
7,2022-03-04,18,2022-03-15,226.29
8,2022-03-15,18,2022-03-24,225.75
9,2022-03-24,18,2022-04-04,228.38
10,2022-04-04,18,2022-04-19,230.01
11,2022-04-19,18,2022-04-28,226.81
12,2022-04-28,18,2022-05-11,226.36
13,2022-05-11,18,2022-05-23,221.93
14,2022-05-23,18,2022-06-01,221.31
15,2022-06-01,18,2022-06-13,222.16
16,2022-06-13,18,2022-06-22,213.08
17,2022-06-22,18,2022-07-01,197.51
18,2022-07-01,18,2022-07-12,195.05
19,2022-07-12,18,2022-07-22,202.22
20,2022-07-22,18,2022-08-04,199.85
21,2022-08-04,18,2022-08-16,201.34
22,2022-08-16,18,2022-08-25,199.92
23,2022-08-25,18,2022-09-05,192.25
24,2022-09-05,18,2022-09-14,192.6
25,2022-09-14,18,2022-09-23,196.33
26,2022-09-23,18,2022-10-04,192.0
27,2022-10-04,18,2022-10-17,192.66
28,2022-10-17,18,2022-10-27,189.43
29,2022-10-27,18,2022-11-07,191.04
30,2022-11-07,18,2022-11-16,189.62
31,2022-11-16,18,2022-11-25,187.99
32,2022-11-25,18,2022-12-07,189.11
33,2022-12-07,18,2022-12-19,187.47
34,2022-12-19,18,2022-12-28,188.27
