Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,217.38
1,2022-01-04,18,2022-01-13,223.6
2,2022-01-13,18,2022-01-24,228.06
3,2022-01-24,18,2022-02-02,220.53
4,2022-02-02,18,2022-02-11,221.64
5,2022-02-11,18,2022-02-23,226.58
6,2022-02-23,18,2022-03-04,232.44
7,2022-03-04,18,2022-03-15,225.3
8,2022-03-15,18,2022-03-24,228.09
9,2022-03-24,18,2022-04-04,228.34
10,2022-04-04,18,2022-04-19,228.2
11,2022-04-19,18,2022-04-28,219.21
12,2022-04-28,18,2022-05-11,219.15
13,2022-05-11,18,2022-05-23,224.58
14,2022-05-23,18,2022-06-01,222.48
15,2022-06-01,18,2022-06-13,223.95
16,2022-06-13,18,2022-06-22,223.25
17,2022-06-22,18,2022-07-01,200.59
18,2022-07-01,18,2022-07-12,194.19
19,2022-07-12,18,2022-07-22,199.73
20,2022-07-22,18,2022-08-04,203.9
21,2022-08-04,18,2022-08-16,205.34
22,2022-08-16,18,2022-08-25,201.63
23,2022-08-25,18,2022-09-05,191.17
24,2022-09-05,18,2022-09-14,196.32
25,2022-09-14,18,2022-09-23,194.68
26,2022-09-23,18,2022-10-04,191.02
27,2022-10-04,18,2022-10-17,189.57
28,2022-10-17,18,2022-10-27,187.28
29,2022-10-27,18,2022-11-07,188.11
30,2022-11-07,18,2022-11-16,185.87
31,2022-11-16,18,2022-11-25,187.69
32,2022-11-25,18,2022-12-07,185.96
33,2022-12-07,18,2022-12-19,187.51
34,2022-12-19,18,2022-12-28,186.3
