Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,195.5
1,2022-01-04,18,2022-01-13,193.58
2,2022-01-13,18,2022-01-24,199.23
3,2022-01-24,18,2022-02-02,192.06
4,2022-02-02,18,2022-02-11,195.27
5,2022-02-11,18,2022-02-23,185.9
6,2022-02-23,18,2022-03-04,192.5
7,2022-03-04,18,2022-03-15,196.07
8,2022-03-15,18,2022-03-24,192.66
9,2022-03-24,18,2022-04-04,193.19
10,2022-04-04,18,2022-04-19,200.37
11,2022-04-19,18,2022-04-28,200.81
12,2022-04-28,18,2022-05-11,198.7
13,2022-05-11,18,2022-05-23,193.71
14,2022-05-23,18,2022-06-01,201.47
15,2022-06-01,18,2022-06-13,194.01
16,2022-06-13,18,2022-06-22,198.02
17,2022-06-22,18,2022-07-01,193.97
18,2022-07-01,18,2022-07-12,199.67
19,2022-07-12,18,2022-07-22,198.21
20,2022-07-22,18,2022-08-04,198.27
21,2022-08-04,18,2022-08-16,210.18
22,2022-08-16,18,2022-08-25,188.24
23,2022-08-25,18,2022-09-05,193.99
24,2022-09-05,18,2022-09-14,190.34
25,2022-09-14,18,2022-09-23,200.86
26,2022-09-23,18,2022-10-04,199.98
27,2022-10-04,18,2022-10-17,194.23
28,2022-10-17,18,2022-10-27,197.85
29,2022-10-27,18,2022-11-07,197.82
30,2022-11-07,18,2022-11-16,197.91
31,2022-11-16,18,2022-11-25,197.73
32,2022-11-25,18,2022-12-07,197.84
33,2022-12-07,18,2022-12-19,194.14
34,2022-12-19,18,2022-12-28,197.34
