Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,204.7
1,2022-01-04,18,2022-01-13,224.55
2,2022-01-13,18,2022-01-24,223.87
3,2022-01-24,18,2022-02-02,230.76
4,2022-02-02,18,2022-02-11,224.53
5,2022-02-11,18,2022-02-23,239.74
6,2022-02-23,18,2022-03-04,241.03
7,2022-03-04,18,2022-03-15,236.5
8,2022-03-15,18,2022-03-24,223.01
9,2022-03-24,18,2022-04-04,225.75
10,2022-04-04,18,2022-04-19,225.21
11,2022-04-19,18,2022-04-28,212.63
12,2022-04-28,18,2022-05-11,222.47
13,2022-05-11,18,2022-05-23,216.79
14,2022-05-23,18,2022-06-01,216.39
15,2022-06-01,18,2022-06-13,222.72
16,2022-06-13,18,2022-06-22,206.69
17,2022-06-22,18,2022-07-01,196.98
18,2022-07-01,18,2022-07-12,198.43
19,2022-07-12,18,2022-07-22,192.0
20,2022-07-22,18,2022-08-04,189.11
21,2022-08-04,18,2022-08-16,192.77
22,2022-08-16,18,2022-08-25,194.63
23,2022-08-25,18,2022-09-05,190.65
24,2022-09-05,18,2022-09-14,189.59
25,2022-09-14,18,2022-09-23,191.99
26,2022-09-23,18,2022-10-04,193.3
27,2022-10-04,18,2022-10-17,193.06
28,2022-10-17,18,2022-10-27,184.98
29,2022-10-27,18,2022-11-07,181.11
30,2022-11-07,18,2022-11-16,181.0
31,2022-11-16,18,2022-11-25,184.67
32,2022-11-25,18,2022-12-07,186.47
33,2022-12-07,18,2022-12-19,183.22
34,2022-12-19,18,2022-12-28,184.1
