Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,217.25
1,2022-01-04,18,2022-01-13,221.21
2,2022-01-13,18,2022-01-24,220.9
3,2022-01-24,18,2022-02-02,220.83
4,2022-02-02,18,2022-02-11,221.7
5,2022-02-11,18,2022-02-23,227.61
6,2022-02-23,18,2022-03-04,225.27
7,2022-03-04,18,2022-03-15,228.58
8,2022-03-15,18,2022-03-24,227.14
9,2022-03-24,18,2022-04-04,227.04
10,2022-04-04,18,2022-04-19,227.66
11,2022-04-19,18,2022-04-28,224.05
12,2022-04-28,18,2022-05-11,222.16
13,2022-05-11,18,2022-05-23,219.9
14,2022-05-23,18,2022-06-01,220.08
15,2022-06-01,18,2022-06-13,221.52
16,2022-06-13,18,2022-06-22,213.81
17,2022-06-22,18,2022-07-01,196.89
18,2022-07-01,18,2022-07-12,194.31
19,2022-07-12,18,2022-07-22,198.29
20,2022-07-22,18,2022-08-04,198.76
21,2022-08-04,18,2022-08-16,199.69
22,2022-08-16,18,2022-08-25,200.94
23,2022-08-25,18,2022-09-05,193.51
24,2022-09-05,18,2022-09-14,193.56
25,2022-09-14,18,2022-09-23,196.73
26,2022-09-23,18,2022-10-04,195.45
27,2022-10-04,18,2022-10-17,193.8
28,2022-10-17,18,2022-10-27,187.78
29,2022-10-27,18,2022-11-07,191.62
30,2022-11-07,18,2022-11-16,192.6
31,2022-11-16,18,2022-11-25,189.5
32,2022-11-25,18,2022-12-07,190.75
33,2022-12-07,18,2022-12-19,191.03
34,2022-12-19,18,2022-12-28,190.25
