Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,214.0
1,2022-01-04,18,2022-01-13,220.46
2,2022-01-13,18,2022-01-24,220.96
3,2022-01-24,18,2022-02-02,220.58
4,2022-02-02,18,2022-02-11,221.09
5,2022-02-11,18,2022-02-23,225.96
6,2022-02-23,18,2022-03-04,227.1
7,2022-03-04,18,2022-03-15,226.7
8,2022-03-15,18,2022-03-24,227.15
9,2022-03-24,18,2022-04-04,221.23
10,2022-04-04,18,2022-04-19,231.18
11,2022-04-19,18,2022-04-28,218.21
12,2022-04-28,18,2022-05-11,223.09
13,2022-05-11,18,2022-05-23,220.44
14,2022-05-23,18,2022-06-01,228.89
15,2022-06-01,18,2022-06-13,222.2
16,2022-06-13,18,2022-06-22,222.76
17,2022-06-22,18,2022-07-01,191.49
18,2022-07-01,18,2022-07-12,198.97
19,2022-07-12,18,2022-07-22,203.72
20,2022-07-22,18,2022-08-04,206.5
21,2022-08-04,18,2022-08-16,199.34
22,2022-08-16,18,2022-08-25,200.49
23,2022-08-25,18,2022-09-05,191.44
24,2022-09-05,18,2022-09-14,193.05
25,2022-09-14,18,2022-09-23,203.86
26,2022-09-23,18,2022-10-04,193.49
27,2022-10-04,18,2022-10-17,187.27
28,2022-10-17,18,2022-10-27,190.15
29,2022-10-27,18,2022-11-07,194.04
30,2022-11-07,18,2022-11-16,190.7
31,2022-11-16,18,2022-11-25,191.55
32,2022-11-25,18,2022-12-07,189.37
33,2022-12-07,18,2022-12-19,190.54
34,2022-12-19,18,2022-12-28,187.46
