Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,8.61
1,2022-01-04,14,2022-01-13,7.75
2,2022-01-13,14,2022-01-24,10.22
3,2022-01-24,14,2022-02-02,9.77
4,2022-02-02,14,2022-02-11,13.72
5,2022-02-11,14,2022-02-23,12.3
6,2022-02-23,14,2022-03-04,11.13
7,2022-03-04,14,2022-03-15,14.11
8,2022-03-15,14,2022-03-24,6.59
9,2022-03-24,14,2022-04-04,12.3
10,2022-04-04,14,2022-04-19,10.99
11,2022-04-19,14,2022-04-28,13.19
12,2022-04-28,14,2022-05-11,13.3
13,2022-05-11,14,2022-05-23,10.77
14,2022-05-23,14,2022-06-01,11.92
15,2022-06-01,14,2022-06-13,12.05
16,2022-06-13,14,2022-06-22,14.97
17,2022-06-22,14,2022-07-01,10.95
18,2022-07-01,14,2022-07-12,12.8
19,2022-07-12,14,2022-07-22,13.26
20,2022-07-22,14,2022-08-04,13.98
21,2022-08-04,14,2022-08-16,12.4
22,2022-08-16,14,2022-08-25,14.88
23,2022-08-25,14,2022-09-05,16.97
24,2022-09-05,14,2022-09-14,11.81
25,2022-09-14,14,2022-09-23,12.86
26,2022-09-23,14,2022-10-04,11.02
27,2022-10-04,14,2022-10-17,11.31
28,2022-10-17,14,2022-10-27,16.58
29,2022-10-27,14,2022-11-07,13.56
30,2022-11-07,14,2022-11-16,15.44
31,2022-11-16,14,2022-11-25,9.65
32,2022-11-25,14,2022-12-07,12.44
33,2022-12-07,14,2022-12-19,13.15
34,2022-12-19,14,2022-12-28,13.13
