Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.45
1,2022-01-04,14,2022-01-13,10.85
2,2022-01-13,14,2022-01-24,10.59
3,2022-01-24,14,2022-02-02,10.93
4,2022-02-02,14,2022-02-11,10.62
5,2022-02-11,14,2022-02-23,10.74
6,2022-02-23,14,2022-03-04,10.76
7,2022-03-04,14,2022-03-15,11.02
8,2022-03-15,14,2022-03-24,11.34
9,2022-03-24,14,2022-04-04,10.73
10,2022-04-04,14,2022-04-19,11.68
11,2022-04-19,14,2022-04-28,10.79
12,2022-04-28,14,2022-05-11,12.11
13,2022-05-11,14,2022-05-23,11.95
14,2022-05-23,14,2022-06-01,10.55
15,2022-06-01,14,2022-06-13,12.58
16,2022-06-13,14,2022-06-22,12.49
17,2022-06-22,14,2022-07-01,12.45
18,2022-07-01,14,2022-07-12,12.5
19,2022-07-12,14,2022-07-22,12.73
20,2022-07-22,14,2022-08-04,12.53
21,2022-08-04,14,2022-08-16,12.86
22,2022-08-16,14,2022-08-25,12.8
23,2022-08-25,14,2022-09-05,13.9
24,2022-09-05,14,2022-09-14,14.25
25,2022-09-14,14,2022-09-23,13.67
26,2022-09-23,14,2022-10-04,13.51
27,2022-10-04,14,2022-10-17,12.72
28,2022-10-17,14,2022-10-27,13.15
29,2022-10-27,14,2022-11-07,12.73
30,2022-11-07,14,2022-11-16,12.58
31,2022-11-16,14,2022-11-25,12.77
32,2022-11-25,14,2022-12-07,12.82
33,2022-12-07,14,2022-12-19,13.14
34,2022-12-19,14,2022-12-28,13.29
