Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,135.1
1,2022-01-04,16,2022-01-13,138.09
2,2022-01-13,16,2022-01-24,127.01
3,2022-01-24,16,2022-02-02,126.0
4,2022-02-02,16,2022-02-11,162.74
5,2022-02-11,16,2022-02-23,151.5
6,2022-02-23,16,2022-03-04,163.93
7,2022-03-04,16,2022-03-15,192.66
8,2022-03-15,16,2022-03-24,144.08
9,2022-03-24,16,2022-04-04,165.12
10,2022-04-04,16,2022-04-19,150.88
11,2022-04-19,16,2022-04-28,164.27
12,2022-04-28,16,2022-05-11,166.49
13,2022-05-11,16,2022-05-23,165.36
14,2022-05-23,16,2022-06-01,179.93
15,2022-06-01,16,2022-06-13,177.81
16,2022-06-13,16,2022-06-22,178.18
17,2022-06-22,16,2022-07-01,166.27
18,2022-07-01,16,2022-07-12,175.94
19,2022-07-12,16,2022-07-22,201.99
20,2022-07-22,16,2022-08-04,168.76
21,2022-08-04,16,2022-08-16,172.04
22,2022-08-16,16,2022-08-25,200.5
23,2022-08-25,16,2022-09-05,241.89
24,2022-09-05,16,2022-09-14,194.26
25,2022-09-14,16,2022-09-23,227.04
26,2022-09-23,16,2022-10-04,232.66
27,2022-10-04,16,2022-10-17,228.46
28,2022-10-17,16,2022-10-27,236.2
29,2022-10-27,16,2022-11-07,246.54
30,2022-11-07,16,2022-11-16,241.9
31,2022-11-16,16,2022-11-25,233.7
32,2022-11-25,16,2022-12-07,208.07
33,2022-12-07,16,2022-12-19,228.9
34,2022-12-19,16,2022-12-28,211.83
