Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,141.49
1,2022-01-04,16,2022-01-13,141.17
2,2022-01-13,16,2022-01-24,140.16
3,2022-01-24,16,2022-02-02,140.96
4,2022-02-02,16,2022-02-11,139.49
5,2022-02-11,16,2022-02-23,143.0
6,2022-02-23,16,2022-03-04,144.72
7,2022-03-04,16,2022-03-15,156.32
8,2022-03-15,16,2022-03-24,162.69
9,2022-03-24,16,2022-04-04,164.72
10,2022-04-04,16,2022-04-19,155.5
11,2022-04-19,16,2022-04-28,162.05
12,2022-04-28,16,2022-05-11,160.04
13,2022-05-11,16,2022-05-23,162.88
14,2022-05-23,16,2022-06-01,167.6
15,2022-06-01,16,2022-06-13,166.38
16,2022-06-13,16,2022-06-22,169.45
17,2022-06-22,16,2022-07-01,168.55
18,2022-07-01,16,2022-07-12,182.64
19,2022-07-12,16,2022-07-22,188.41
20,2022-07-22,16,2022-08-04,184.66
21,2022-08-04,16,2022-08-16,184.92
22,2022-08-16,16,2022-08-25,187.67
23,2022-08-25,16,2022-09-05,200.41
24,2022-09-05,16,2022-09-14,206.56
25,2022-09-14,16,2022-09-23,210.5
26,2022-09-23,16,2022-10-04,213.9
27,2022-10-04,16,2022-10-17,217.02
28,2022-10-17,16,2022-10-27,220.21
29,2022-10-27,16,2022-11-07,222.19
30,2022-11-07,16,2022-11-16,218.17
31,2022-11-16,16,2022-11-25,220.73
32,2022-11-25,16,2022-12-07,219.67
33,2022-12-07,16,2022-12-19,220.38
34,2022-12-19,16,2022-12-28,218.44
