Order_ID,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,16,2022-01-04,148.6
1,2022-01-04,16,2022-01-13,149.0
2,2022-01-13,16,2022-01-24,148.96
3,2022-01-24,16,2022-02-02,151.56
4,2022-02-02,16,2022-02-11,151.25
5,2022-02-11,16,2022-02-23,140.45
6,2022-02-23,16,2022-03-04,142.75
7,2022-03-04,16,2022-03-15,151.14
8,2022-03-15,16,2022-03-24,138.41
9,2022-03-24,16,2022-04-04,155.95
10,2022-04-04,16,2022-04-19,137.96
11,2022-04-19,16,2022-04-28,138.33
12,2022-04-28,16,2022-05-11,140.07
13,2022-05-11,16,2022-05-23,150.64
14,2022-05-23,16,2022-06-01,147.83
15,2022-06-01,16,2022-06-13,150.45
16,2022-06-13,16,2022-06-22,157.84
17,2022-06-22,16,2022-07-01,150.47
18,2022-07-01,16,2022-07-12,151.3
19,2022-07-12,16,2022-07-22,160.8
20,2022-07-22,16,2022-08-04,161.38
21,2022-08-04,16,2022-08-16,154.45
22,2022-08-16,16,2022-08-25,152.21
23,2022-08-25,16,2022-09-05,152.79
24,2022-09-05,16,2022-09-14,141.93
25,2022-09-14,16,2022-09-23,148.0
26,2022-09-23,16,2022-10-04,159.26
27,2022-10-04,16,2022-10-17,156.24
28,2022-10-17,16,2022-10-27,160.77
29,2022-10-27,16,2022-11-07,159.58
30,2022-11-07,16,2022-11-16,160.58
31,2022-11-16,16,2022-11-25,168.13
32,2022-11-25,16,2022-12-07,147.73
33,2022-12-07,16,2022-12-19,167.86
34,2022-12-19,16,2022-12-28,155.95
